Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.749848	0.934667	1.065941	1.395505	0.959343	1.006121	1.740792	0.966444	
1.685766	0.950178	1.021522	1.565312	0.938174	0.993139	1.464572	0.978746	
1.822270	0.930733	1.152185	1.594244	0.965877	1.006781	1.657163	0.975717	
1.505164	0.923983	1.065542	1.676759	0.967765	1.058793	1.562296	1.193870	
1.756197	0.974403	1.071543	1.751357	1.099099	1.006271	1.310506	0.972430	
1.455415	0.920511	1.060964	1.463068	1.257098	1.217936	1.403572	0.947339	
1.557456	0.920542	1.015236	1.466978	1.014391	1.041786	1.416768	0.948192	
1.974101	0.944260	1.029043	1.507006	0.928146	1.001522	1.460638	0.968968	
1.726268	0.942441	1.054896	1.874314	1.017208	0.984403	1.787217	0.966516	
1.589318	0.904164	1.060010	1.672473	0.946140	1.006058	1.622151	0.982494	
1.554952	0.903330	1.054883	1.429449	0.941211	0.979526	1.287557	0.976981	
1.633123	0.912963	1.048252	1.520613	0.963010	0.991550	1.313933	0.980398	
1.328889	0.946795	1.017692	1.570667	0.951686	0.984661	1.399040	0.950254	
1.734595	0.928467	1.026425	1.693337	0.933454	0.983867	1.662580	0.960747	
1.780470	0.908042	1.056251	1.553252	0.929960	0.990293	1.774471	0.970795	
1.758192	0.928455	1.069377	1.456368	0.962274	1.000824	1.335592	0.975304	
1.788504	0.923744	1.066301	1.650770	0.937966	0.971900	1.336258	1.043567	
1.583282	0.923939	1.068230	1.699638	0.962310	0.985922	1.705825	0.960982	
1.615201	0.932043	0.997855	1.645928	0.942797	0.996158	1.560631	0.943657	
1.671483	0.947000	1.042475	1.647377	0.950366	1.039078	1.754358	0.966835	
1.600966	0.922697	1.060010	1.586122	0.945234	0.989432	1.277851	1.030445	
1.881108	0.931522	1.060556	1.783018	0.942533	0.984318	1.507393	0.948962	
1.458701	0.926639	1.071063	1.600612	0.932812	0.998910	1.581764	0.968078	
1.501865	0.917385	0.970255	1.638495	0.929963	0.985083	1.390108	0.950111	
1.943705	0.930849	1.058268	1.684113	1.014078	0.984162	1.563458	0.963407	
1.559691	0.926920	1.054635	1.442242	0.934525	0.990311	1.402962	0.967967	
1.897340	0.942650	1.064914	1.869928	0.943255	1.013297	1.774863	0.971244	
1.463904	0.922321	1.078611	1.627368	0.950461	1.051249	1.543503	0.967359	
1.615008	0.899205	1.052240	1.407501	0.965153	0.985390	1.330988	0.949818	
1.820015	0.918568	1.075583	1.824767	0.936135	1.040342	1.587260	0.957525	
1.318581	0.922060	1.038882	1.271411	0.948220	0.988007	1.437199	0.955942	
1.941066	0.919850	1.005474	1.676987	0.945566	1.038417	1.560025	0.939235	
1.578610	0.919545	1.074008	1.513685	0.940037	1.009226	1.678181	0.968564	
1.702597	0.921320	1.053775	1.598969	0.952341	0.971245	1.284014	0.949374	
1.960311	0.936824	1.079780	1.816349	0.943552	1.054227	1.627740	0.971787	
1.614080	0.936924	1.084483	1.596472	0.930966	1.027319	1.630325	0.977583	
1.639227	0.902031	1.047127	1.384893	0.948433	0.978060	1.401579	0.989741	
1.855610	0.937546	1.053108	1.523798	0.944042	0.993051	1.690958	0.977255	
1.392066	0.922722	1.043358	1.633131	0.951708	0.989809	1.412933	0.962662	
