Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.606388	0.933945	1.060530	1.436790	0.948787	0.989787	1.366193	1.184558	
1.444084	1.082541	1.054997	1.487933	0.951059	1.062469	1.356834	1.001914	
1.333646	0.920250	1.033928	1.366191	0.961995	1.086122	1.389000	1.248640	
1.221057	1.066606	1.006454	1.360220	0.945690	1.350899	1.158443	0.952248	
1.412020	0.899995	1.025070	1.332442	0.934453	0.982603	1.276508	1.261343	
1.398726	0.912755	1.041398	1.264103	0.971951	1.003222	1.206605	1.028313	
1.268805	0.910659	1.031811	1.260798	0.995777	0.970924	1.171141	0.978593	
1.387230	0.905621	1.005904	1.287237	0.912739	0.964112	1.116325	0.968700	
1.582031	0.913283	1.000145	1.517925	0.937124	0.986865	1.272886	0.960810	
1.270475	0.920150	0.961156	1.631744	0.930921	0.983651	1.455602	0.954909	
1.256638	0.911530	1.000442	1.431090	0.987881	0.996740	1.487236	1.004086	
1.372680	0.911183	1.003066	1.195373	0.931392	0.966670	1.351415	0.948879	
1.543206	0.895987	1.039688	1.444340	0.943795	0.985054	1.321149	0.959649	
1.550573	0.926221	1.049028	1.622905	0.945307	1.013830	1.444853	0.966458	
1.432433	0.948556	0.996542	1.600979	0.993079	0.986834	1.539419	0.973146	
1.509485	0.929758	1.013175	1.532877	0.934007	0.988201	1.495008	0.959566	
1.465801	0.923750	1.007735	1.628896	0.927872	0.975612	1.401884	0.961663	
1.517860	0.951610	1.039898	1.512042	0.918744	1.058642	1.564364	0.980680	
1.476878	0.921276	1.034363	1.458806	0.930215	1.010960	1.429946	0.999265	
1.369795	0.905154	1.053810	1.567426	0.935848	1.001644	1.372381	0.960107	
1.615970	0.942204	1.051469	1.491937	0.950072	0.996610	1.475346	0.987051	
1.327243	0.938833	1.066243	1.460725	0.931278	0.986027	1.411686	0.978996	
1.309222	0.923407	1.056542	1.372466	1.001882	0.998945	1.272721	0.961279	
1.333327	0.922188	1.078612	1.422679	0.948158	1.001537	1.340243	0.984485	
1.395158	0.926967	1.079812	1.353638	0.946803	0.992167	1.260879	0.959139	
1.282970	0.921328	1.065578	1.318343	0.945368	0.989184	1.288441	0.943694	
1.222404	0.926620	1.070216	1.408980	0.938556	0.981671	1.264780	0.953615	
1.285711	0.892824	1.037003	1.184521	0.946111	0.968876	1.250740	0.956495	
1.320891	0.924628	1.070156	1.412456	0.931469	0.986518	1.277189	0.962137	
1.222976	0.911253	1.047942	1.288194	0.983789	0.979619	1.292662	0.968852	
1.270610	0.922433	1.046622	1.428801	0.944059	0.961789	1.182573	0.952512	
1.319385	0.893922	1.044035	1.218858	0.936273	0.989592	1.411829	0.968843	
1.350970	0.929677	1.029217	1.344325	0.932985	0.987507	1.185117	0.993995	
1.236612	0.920297	0.998699	1.339999	1.025884	1.076662	1.370481	0.959077	
1.508192	0.912317	1.012532	1.556083	0.932689	0.998172	1.264853	0.961123	
1.261519	0.947691	1.004956	1.553220	0.955830	0.991765	1.506500	0.957179	
1.505037	0.927316	0.990945	1.518568	0.939613	0.988861	1.564307	0.964554	
1.502039	0.907783	1.006479	1.455008	0.944307	0.997364	1.495951	0.953411	
1.442078	0.931393	1.015182	1.656753	0.942624	0.994050	1.399334	0.954470	
1.556584	0.938822	1.027492	1.654931	0.929272	0.983127	1.532664	0.962521	
1.477914	0.946182	1.045649	1.545238	0.931132	0.981162	1.565012	0.982717	
1.497687	0.927322	1.039078	1.490126	0.934107	0.993447	1.437641	1.040292	
1.521390	0.921296	1.048342	1.519526	0.937553	1.001960	1.392619	0.959889	
1.544044	0.904473	1.044461	1.611626	0.942905	0.977999	1.476906	0.965758	
1.355012	0.940730	1.053683	1.503059	0.936497	0.992249	1.524530	0.964129	
1.393271	0.925243	1.042173	1.317376	0.945751	0.990590	1.349198	1.035710	
1.459794	0.911846	1.031727	1.562585	0.936232	0.994377	1.288441	0.963572	
1.452122	0.931154	1.052766	1.541199	0.927013	0.992478	1.447567	0.968106	
1.543213	0.917909	1.040058	1.485009	0.951874	1.070958	1.561540	0.969788	
