bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
12951593744	685216	20	8	687350	8215067	1665228	6549839	1954889589	366427
12952558223	685217	23	8	687351	8215525	1665302	6550223	1954933280	366426
12953474752	685217	23	8	687351	8215965	1665366	6550599	1954976732	366426
12954405515	685217	23	8	687351	8216397	1665437	6550960	1955020043	366426
12955061825	685218	22	8	687352	8216839	1665516	6551323	1955063827	366425
12955515631	685218	24	8	687352	8217271	1665575	6551696	1955106783	366425
12956251874	685218	19	8	687352	8217706	1665636	6552070	1955151345	366425
12956957409	685218	24	8	687352	8218132	1665692	6552440	1955194180	366425
12957800596	685218	21	8	687352	8218575	1665758	6552817	1955237937	366425
12958530967	685218	22	8	687352	8219024	1665814	6553210	1955282130	366425
12959071923	685218	18	8	687352	8219464	1665890	6553574	1955325673	366425
12959796181	685218	22	8	687352	8219888	1665946	6553942	1955367629	366425
12960622731	685218	20	8	687352	8220319	1666009	6554310	1955411323	366425
12961489565	685218	25	8	687352	8220768	1666073	6554695	1955455754	366425
12962247195	685218	22	8	687352	8221220	1666146	6555074	1955500388	366425
12963060222	685218	21	8	687352	8221647	1666201	6555446	1955542908	366425
12963899179	685218	20	8	687352	8222075	1666265	6555810	1955586178	366425
12964602776	685218	21	8	687352	8222508	1666339	6556169	1955629355	366425
12965587695	685218	20	8	687352	8222959	1666405	6556554	1955673655	366425
12966337147	685218	23	8	687352	8223401	1666464	6556937	1955717207	366425
12967136879	685218	23	8	687352	8223849	1666538	6557311	1955761266	366425
12967812012	685218	24	8	687352	8224271	1666600	6557671	1955804179	366425
12968459842	685218	20	8	687352	8224700	1666662	6558038	1955847565	366425
12969085956	685220	22	8	687354	8225139	1666739	6558400	1955900032	366426
12970034182	685220	21	8	687354	8225586	1666807	6558779	1955943790	366426
12970967203	685221	23	8	687355	8226047	1666877	6559170	1955988223	366427
12971570813	685222	22	8	687356	8226483	1666950	6559533	1956031969	366427
12972579340	685222	22	8	687356	8226930	1667015	6559915	1956075651	366427
12973233789	685222	20	8	687356	8227344	1667068	6560276	1956118136	366427
12974032535	685222	25	8	687356	8227792	1667137	6560655	1956162164	366427
12974678365	685222	24	8	687356	8228226	1667205	6561021	1956205925	366427
12975588050	685222	23	8	687356	8228661	1667268	6561393	1956249603	366427
12976374620	685222	17	8	687356	8229084	1667328	6561756	1956292132	366427
12976990685	685222	20	8	687356	8229528	1667388	6562140	1956336006	366427
12977841128	685222	20	8	687356	8229987	1667453	6562534	1956380726	366427
12978661187	685222	20	8	687356	8230429	1667511	6562918	1956424660	366427
12979504167	685222	18	8	687356	8230863	1667582	6563281	1956468220	366427
12980333205	685222	22	8	687356	8231321	1667652	6563669	1956512921	366427
12981153618	685222	20	8	687356	8231752	1667720	6564032	1956556077	366427
12982104392	685222	25	8	687356	8232208	1667791	6564417	1956600177	366427
12982885125	685225	23	8	687359	8232662	1667874	6564788	1956663573	366428
12983656677	685225	23	8	687359	8233096	1667940	6565156	1956706917	366428
12984171817	685225	20	8	687359	8233511	1668001	6565510	1956749575	366428
12985205349	685225	26	8	687359	8233964	1668063	6565901	1956793835	366428
12986090075	685225	22	8	687359	8234396	1668123	6566273	1956837201	366428
12986708390	685225	25	8	687359	8234824	1668186	6566638	1956880308	366428
12987486329	685225	21	8	687359	8235271	1668248	6567023	1956924354	366428
12988234015	685225	22	8	687359	8235696	1668305	6567391	1956966327	366428
12988911065	685225	17	8	687359	8236138	1668375	6567763	1957010190	366428
12989628671	685225	25	8	687359	8236605	1668448	6568157	1957055324	366428
12990288956	685225	20	8	687359	8237028	1668508	6568520	1957098793	366428
12990975715	685225	21	8	687359	8237469	1668564	6568905	1957142845	366428
12991687525	685225	22	8	687359	8237904	1668632	6569272	1957186070	366428
12992475447	685225	21	8	687359	8238370	1668710	6569660	1957231412	366428
12993405006	685225	21	8	687359	8238823	1668772	6570051	1957275150	366428
12994098049	685226	20	8	687360	8239276	1668850	6570426	1957339167	366429
12994788346	685226	20	8	687360	8239700	1668903	6570797	1957381515	366429
12995711023	685227	22	8	687361	8240135	1668968	6571167	1957424504	366428
12996361058	685227	19	8	687361	8240561	1669035	6571526	1957466627	366428
12997068030	685227	21	8	687361	8240998	1669098	6571900	1957509219	366428
12997833250	685227	17	8	687361	8241429	1669158	6572271	1957551896	366428
12998901047	685227	21	8	687361	8241875	1669220	6572655	1957595016	366428
12999452538	685227	18	8	687361	8242305	1669287	6573018	1957637844	366428
13000234386	685228	23	8	687362	8242754	1669358	6573396	1957680746	366428
13001012161	685228	20	8	687362	8243202	1669433	6573769	1957724656	366428
13001805135	685228	23	8	687362	8243635	1669493	6574142	1957767135	366428
13002623160	685228	18	8	687362	8244052	1669549	6574503	1957808421	366428
13003420631	685228	22	8	687362	8244496	1669611	6574885	1957851835	366428
13003937970	685228	21	8	687362	8244930	1669683	6575247	1957894283	366428
13004600306	685228	18	8	687362	8245378	1669755	6575623	1957938592	366428
13005301918	685229	18	8	687363	8245818	1669824	6575994	1957981358	366428
13005945554	685229	21	8	687363	8246266	1669904	6576362	1958025131	366428
13006734891	685229	24	8	687363	8246672	1669953	6576719	1958065765	366428
13007553760	685229	21	8	687363	8247099	1670017	6577082	1958109075	366428
13008376784	685229	21	8	687363	8247537	1670074	6577463	1958151564	366428
