bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
20032489861	4142472	18	8	4530225	16152454	2065540	14086914	2250827953	481783
20032899331	4142551	16	8	4530308	16152789	2065575	14087214	2250850083	481783
20033380151	4142628	16	8	4530390	16153135	2065614	14087521	2250872475	481783
20033921574	4142710	12	8	4530477	16153481	2065650	14087831	2250895334	481783
20034497470	4142787	17	8	4530556	16153827	2065687	14088140	2250917607	481783
20034828922	4142866	12	8	4530638	16154167	2065721	14088446	2250939848	481783
20035214640	4142944	15	8	4530719	16154513	2065754	14088759	2250962280	481783
20035647756	4143020	14	8	4530795	16154826	2065790	14089036	2250983040	481783
20036097576	4143100	17	8	4530876	16155172	2065827	14089345	2251005591	481783
20036620857	4143178	17	8	4530957	16155500	2065859	14089641	2251027190	481783
20037045242	4143259	17	8	4531042	16155855	2065898	14089957	2251050296	481783
20037514709	4143338	18	8	4531126	16156197	2065933	14090264	2251072920	481783
20038058621	4143417	16	8	4531217	16156543	2065970	14090573	2251096056	481783
20038487021	4143496	16	8	4531307	16156881	2065996	14090885	2251118621	481783
20039045961	4143577	17	8	4531396	16157233	2066027	14091206	2251141609	481783
20039509810	4143656	12	8	4531479	16157566	2066059	14091507	2251163570	481783
20040089727	4143732	15	8	4531559	16157926	2066096	14091830	2251186670	481783
20040503514	4143809	13	8	4531643	16158244	2066121	14092123	2251207803	481783
20040889978	4143888	15	8	4531726	16158600	2066168	14092432	2251231012	481783
20041391762	4143965	16	8	4531806	16158932	2066204	14092728	2251252693	481783
20041910035	4144045	19	8	4531888	16159276	2066239	14093037	2251275351	481783
20042393893	4144122	17	8	4531974	16159632	2066283	14093349	2251298630	481783
20042864158	4144204	15	8	4532059	16159970	2066307	14093663	2251320715	481783
20043269161	4144284	16	8	4532139	16160306	2066340	14093966	2251342607	481783
20043656319	4144363	14	8	4532221	16160640	2066372	14094268	2251364565	481783
20044011218	4144440	16	8	4532300	16160965	2066397	14094568	2251385880	481783
20044536527	4144518	16	8	4532386	16161306	2066431	14094875	2251408420	481783
20044894037	4144594	16	8	4532468	16161629	2066465	14095164	2251429835	481783
20045515498	4144675	15	8	4532554	16161983	2066497	14095486	2251452904	481783
20045792759	4144752	15	8	4532638	16162304	2066531	14095773	2251474382	481783
20046344001	4144832	16	8	4532720	16162649	2066566	14096083	2251497017	481783
20046827859	4144911	13	8	4532806	16162985	2066598	14096387	2251519143	481783
20047205019	4144988	13	8	4532886	16163315	2066632	14096683	2251540762	481783
20047677438	4145066	19	8	4532970	16163658	2066668	14096990	2251563348	481783
20048042606	4145144	16	8	4533052	16163996	2066704	14097292	2251585541	481783
20048404552	4145226	13	8	4533137	16164329	2066732	14097597	2251607454	481783
20048839206	4145302	16	8	4533216	16164666	2066763	14097903	2251629453	481783
20049197941	4145384	12	8	4533302	16165015	2066802	14098213	2251652337	481783
20049484279	4145462	16	8	4533381	16165350	2066840	14098510	2251674206	481783
20049878987	4145539	14	8	4533463	16165681	2066869	14098812	2251695992	481783
20050194329	4145620	12	8	4533546	16166011	2066897	14099114	2251717755	481783
20050544638	4145697	17	8	4533627	16166331	2066925	14099406	2251738910	481783
20050917145	4145776	16	8	4533710	16166676	2066970	14099706	2251761687	481783
20051332498	4145852	18	8	4533787	16167000	2067002	14099998	2251782944	481783
20051707281	4145933	18	8	4533869	16167333	2067035	14100298	2251804888	481783
20052265431	4146012	19	8	4533948	16167688	2067072	14100616	2251827719	481783
20052966349	4146092	17	8	4534030	16168026	2067103	14100923	2251849815	481783
20053345383	4146172	16	8	4534117	16168363	2067138	14101225	2251872306	481783
20053742281	4146252	12	8	4534200	16168699	2067160	14101539	2251894164	481783
20054120082	4146331	13	8	4534280	16169035	2067194	14101841	2251916123	481783
20054628388	4146409	13	8	4534362	16169370	2067228	14102142	2251938145	481783
20055038955	4146485	12	8	4534443	16169698	2067261	14102437	2251959730	481783
20055418918	4146566	12	8	4534529	16170039	2067290	14102749	2251982141	481783
20055814951	4146641	16	8	4534608	16170372	2067326	14103046	2252003976	481783
20056151022	4146720	14	8	4534690	16170691	2067353	14103338	2252025169	481783
20056596039	4146797	19	8	4534770	16171033	2067386	14103647	2252047395	481783
20056997861	4146877	17	8	4534858	16171365	2067415	14103950	2252069458	481783
20057381564	4146959	15	8	4534946	16171716	2067453	14104263	2252092638	481783
20058022667	4147036	17	8	4535025	16172056	2067491	14104565	2252114775	481783
20058292152	4147115	15	8	4535114	16172397	2067525	14104872	2252137533	481783
20058622501	4147194	15	8	4535195	16172713	2067551	14105162	2252158507	481783
20059217190	4147274	12	8	4535278	16173054	2067584	14105470	2252180857	481783
20059782723	4147353	13	8	4535363	16173398	2067611	14105787	2252203288	481783
20060186402	4147428	14	8	4535440	16173715	2067645	14106070	2252224172	481783
20060503861	4147509	14	8	4535522	16174057	2067676	14106381	2252246515	481783
20060855572	4147585	18	8	4535599	16174388	2067714	14106674	2252268214	481783
20061452042	4147665	16	8	4535686	16174726	2067740	14106986	2252290564	481783
20061742478	4147744	16	8	4535767	16175053	2067768	14107285	2252312020	481783
20062254839	4147823	15	8	4535849	16175386	2067797	14107589	2252333935	481783
20062805244	4147905	16	8	4535932	16175743	2067842	14107901	2252357059	481783
20063266354	4147983	16	8	4536013	16176077	2067874	14108203	2252378916	481783
20063736350	4148065	13	8	4536096	16176422	2067897	14108525	2252401277	481783
20064160824	4148141	15	8	4536174	16176744	2067930	14108814	2252422542	481783
20064516264	4148220	16	8	4536255	16177084	2067962	14109122	2252444705	481783
20064918069	4148301	14	8	4536338	16177421	2067992	14109429	2252466793	481783
20065262558	4148378	15	8	4536421	16177752	2068029	14109723	2252488662	481783
20065570351	4148457	16	8	4536506	16178096	2068062	14110034	2252511237	481783
20065909482	4148533	15	8	4536582	16178420	2068104	14110316	2252532651	481783
20066256453	4148613	14	8	4536667	16178759	2068139	14110620	2252554952	481783
20066728565	4148693	17	8	4536749	16179110	2068178	14110932	2252577742	481783
20067262980	4148771	13	8	4536831	16179436	2068208	14111228	2252599320	481783
20067786698	4148849	15	8	4536911	16179786	2068243	14111543	2252621974	481783
20068185778	4148928	13	8	4536996	16180117	2068273	14111844	2252643897	481783
20068623727	4149008	13	8	4537082	16180463	2068303	14112160	2252666481	481783
20069094781	4149084	16	8	4537166	16180805	2068336	14112469	2252688896	481783
20069807526	4149162	17	8	4537249	16181148	2068372	14112776	2252711337	481783
20070155772	4149242	16	8	4537332	16181491	2068407	14113084	2252733775	481783
20070689336	4149323	15	8	4537415	16181844	2068442	14113402	2252756685	481783
20071141024	4149401	16	8	4537494	16182174	2068481	14113693	2252778504	481783
20071755503	4149481	15	8	4537578	16182512	2068506	14114006	2252800632	481783
20072131443	4149557	18	8	4537658	16182828	2068538	14114290	2252821600	481783
20072553538	4149635	15	8	4537742	16183153	2068576	14114577	2252843337	481783
20072986492	4149715	14	8	4537827	16183496	2068615	14114881	2252865952	481783
20073399692	4149792	15	8	4537910	16183833	2068649	14115184	2252888118	481783
20073805968	4149871	15	8	4537991	16184171	2068687	14115484	2252910295	481783
20074102233	4149949	16	8	4538072	16184515	2068731	14115784	2252932810	481783
20074617975	4150027	14	8	4538151	16184841	2068766	14116075	2252954300	481783
20074936015	4150106	17	8	4538233	16185179	2068802	14116377	2252976610	481783
20075368753	4150185	17	8	4538313	16185505	2068832	14116673	2252998101	481783
20075736591	4150266	16	8	4538401	16185857	2068871	14116986	2253021341	481783
20076174204	4150344	18	8	4538484	16186189	2068903	14117286	2253043100	481783
20076706731	4150422	14	8	4538573	16186534	2068930	14117604	2253065835	481783
20077100781	4150501	15	8	4538652	16186870	2068960	14117910	2253087648	481783
20077579198	4150577	14	8	4538732	16187195	2068988	14118207	2253108934	481783
20078056335	4150655	15	8	4538814	16187533	2069027	14118506	2253131545	481783
20078415553	4150734	13	8	4538893	16187859	2069051	14118808	2253152839	481783
20078779886	4150812	14	8	4538973	16188187	2069087	14119100	2253174371	481783
20079105252	4150889	14	8	4539059	16188548	2069125	14119423	2253198415	481783
20079495211	4150967	16	8	4539144	16188886	2069158	14119728	2253220781	481783
20079967380	4151045	13	8	4539231	16189220	2069192	14120028	2253242988	481783
20080305068	4151127	15	8	4539321	16189575	2069231	14120344	2253289126	481782
20080789232	4151203	18	8	4539400	16189920	2069268	14120652	2253311536	481782
20081287212	4151283	14	8	4539487	16190252	2069302	14120950	2253333683	481782
20081822086	4151362	16	8	4539573	16190605	2069342	14121263	2253356810	481782
20082221943	4151438	16	8	4539655	16190923	2069369	14121554	2253377977	481782
20082565639	4151518	16	8	4539738	16191276	2069400	14121876	2253400825	481782
20083095084	4151597	17	8	4539821	16191626	2069433	14122193	2253423528	481782
20083519254	4151678	17	8	4539910	16191963	2069467	14122496	2253446076	481782
20084046180	4151755	12	8	4539988	16192302	2069504	14122798	2253468032	481782
20084526275	4151834	14	8	4540070	16192643	2069541	14123102	2253490437	481782
20084982964	4151909	15	8	4540149	16192958	2069568	14123390	2253511301	481782
20085405264	4151987	14	8	4540233	16193297	2069606	14123691	2253533522	481782
20085972818	4152064	14	8	4540311	16193627	2069641	14123986	2253555150	481782
20086474354	4152143	14	8	4540393	16193972	2069683	14124289	2253577691	481782
20086811039	4152220	15	8	4540481	16194299	2069709	14124590	2253599611	481782
20087286393	4152299	13	8	4540566	16194633	2069746	14124887	2253621833	481782
20087822220	4152378	19	8	4540645	16194958	2069774	14125184	2253643272	481782
20088267510	4152456	16	8	4540724	16195283	2069801	14125482	2253664646	481782
20088587142	4152537	15	8	4540809	16195629	2069841	14125788	2253687327	481782
20089020944	4152616	14	8	4540889	16195977	2069883	14126094	2253709979	481782
20089455229	4152692	16	8	4540975	16196321	2069915	14126406	2253732594	481782
20089887338	4152774	15	8	4541061	16196681	2069953	14126728	2253755974	481782
20090442778	4152850	17	8	4541140	16197014	2069988	14127026	2253777851	481782
20090807363	4152928	15	8	4541223	16197338	2070009	14127329	2253799302	481782
20091192469	4153006	14	8	4541303	16197676	2070050	14127626	2253821410	481782
20091744514	4153085	14	8	4541383	16198013	2070084	14127929	2253843470	481782
20092139240	4153163	15	8	4541467	16198360	2070122	14128238	2253866145	481782
20092595689	4153244	13	8	4541552	16198698	2070151	14128547	2253888373	481782
20093066653	4153322	17	8	4541632	16199032	2070186	14128846	2253910413	481782
20093417541	4153402	14	8	4541718	16199373	2070221	14129152	2253932846	481782
20093782937	4153479	18	8	4541798	16199705	2070252	14129453	2253954731	481782
20094178325	4153558	17	8	4541881	16200048	2070281	14129767	2253976986	481782
20094662797	4153639	17	8	4541966	16200391	2070312	14130079	2253999384	481782
20095113368	4153716	18	8	4542044	16200720	2070348	14130372	2254021125	481782
20095359628	4153795	13	8	4542127	16201047	2070387	14130660	2254042879	481782
20095761490	4153875	11	8	4542209	16201371	2070413	14130958	2254064235	481782
20096287622	4153944	14	8	4542279	16201677	2070451	14131226	2254084084	481782
20096848872	4154017	13	8	4542352	16201999	2070484	14131515	2254104992	481782
20097363675	4154085	16	8	4542421	16202305	2070522	14131783	2254124945	481782
20097926186	4154161	15	8	4542497	16202638	2070552	14132086	2254146266	481782
20098359967	4154232	19	8	4542568	16202945	2070577	14132368	2254166148	481782
20098704909	4154310	16	8	4542653	16203265	2070605	14132660	2254187519	481782
20099082602	4154382	16	8	4542728	16203584	2070644	14132940	2254208335	481782
20099446541	4154454	14	8	4542803	16203899	2070678	14133221	2254228920	481782
20099875228	4154529	16	8	4542879	16204213	2070710	14133503	2254249573	481782
20100312474	4154599	15	8	4542952	16204515	2070749	14133766	2254269457	481782
20100701998	4154672	13	8	4543028	16204835	2070774	14134061	2254290212	481782
20101105802	4154743	15	8	4543102	16205139	2070806	14134333	2254310244	481782
20101519831	4154816	13	8	4543175	16205446	2070840	14134606	2254330367	481782
20101854703	4154889	17	8	4543248	16205775	2070882	14134893	2254351700	481782
20102322258	4154962	13	8	4543322	16206083	2070915	14135168	2254371854	481782
20102909760	4155037	15	8	4543398	16206411	2070944	14135467	2254393137	481782
20103203538	4155109	15	8	4543470	16206711	2070974	14135737	2254412806	481782
20103684936	4155182	15	8	4543543	16207029	2071009	14136020	2254433420	481782
20104151350	4155253	15	8	4543614	16207342	2071037	14136305	2254453463	481782
20104582695	4155325	13	8	4543687	16207656	2071070	14136586	2254473915	481782
20104958404	4155396	15	8	4543760	16207967	2071100	14136867	2254494132	481782
