bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
17440077781	691034	14	8	693168	10822657	2065025	8757632	2224457548	365851
17440343282	691034	15	8	693168	10822816	2065042	8757774	2224474253	365851
17440546547	691034	15	8	693168	10822988	2065073	8757915	2224491751	365851
17440761866	691034	12	8	693168	10823149	2065094	8758055	2224508562	365851
17440999156	691034	13	8	693168	10823312	2065114	8758198	2224525095	365851
17441373432	691034	13	8	693168	10823479	2065139	8758340	2224542097	365851
17441777151	691034	16	8	693168	10823658	2065173	8758485	2224559755	365851
17441964103	691034	14	8	693168	10823831	2065197	8758634	2224576897	365851
17442250151	691034	15	8	693168	10823999	2065223	8758776	2224594319	365851
17442469690	691034	14	8	693168	10824166	2065252	8758914	2224610770	365851
17442685943	691034	14	8	693168	10824333	2065277	8759056	2224627979	365851
17442996067	691034	14	8	693168	10824510	2065307	8759203	2224645389	365851
17443321301	691034	12	8	693168	10824673	2065328	8759345	2224662172	365851
17443558225	691034	11	8	693168	10824828	2065341	8759487	2224678356	365851
17443952571	691034	14	8	693168	10825007	2065374	8759633	2224695964	365851
17444312468	691034	13	8	693168	10825177	2065402	8759775	2224712967	365851
17444755117	691034	14	8	693168	10825350	2065434	8759916	2224730385	365851
17445043054	691034	15	8	693168	10825514	2065459	8760055	2224747381	365851
17445294833	691034	12	8	693168	10825675	2065484	8760191	2224764186	365851
17445560547	691034	14	8	693168	10825852	2065509	8760343	2224781182	365851
17445833960	691034	14	8	693168	10826012	2065528	8760484	2224798126	365851
17446126348	691034	12	8	693168	10826185	2065560	8760625	2224815322	365851
17446424345	691034	15	8	693168	10826365	2065588	8760777	2224833129	365851
17446720465	691034	12	8	693168	10826544	2065620	8760924	2224850868	365851
17447062174	691034	14	8	693168	10826705	2065641	8761064	2224867639	365851
17447260437	691034	14	8	693168	10826877	2065670	8761207	2224884728	365851
17447481006	691034	12	8	693168	10827042	2065692	8761350	2224901623	365851
17447857169	691034	14	8	693168	10827217	2065720	8761497	2224918886	365851
17448222827	691034	16	8	693168	10827394	2065749	8761645	2224936226	365851
17448420769	691034	15	8	693168	10827554	2065771	8761783	2224953044	365851
17448780651	691034	14	8	693168	10827723	2065797	8761926	2224970366	365851
17449052962	691034	14	8	693168	10827889	2065823	8762066	2224987316	365851
17449252250	691034	12	8	693168	10828066	2065857	8762209	2225005116	365851
17449507855	691034	13	8	693168	10828214	2065884	8762330	2225020583	365851
17449723025	691036	13	8	693170	10828376	2065907	8762469	2225040579	365850
17449863028	691036	14	8	693170	10828532	2065931	8762601	2225056794	365850
17450259909	691036	14	8	693170	10828700	2065961	8762739	2225073809	365850
17450557952	691036	16	8	693170	10828876	2065989	8762887	2225091247	365850
17450783640	691036	13	8	693170	10829041	2066016	8763025	2225108374	365850
17451068394	691036	13	8	693170	10829219	2066045	8763174	2225125915	365850
17451302930	691036	12	8	693170	10829387	2066067	8763320	2225142903	365850
17451645986	691036	13	8	693170	10829557	2066089	8763468	2225159776	365850
17451905455	691036	13	8	693170	10829724	2066113	8763611	2225176881	365850
17452132411	691036	13	8	693170	10829884	2066135	8763749	2225193149	365850
17452372467	691036	12	8	693170	10830048	2066162	8763886	2225210023	365850
17452648109	691036	13	8	693170	10830220	2066191	8764029	2225227420	365850
17452925187	691036	13	8	693170	10830389	2066216	8764173	2225244475	365850
17453280214	691036	16	8	693170	10830554	2066237	8764317	2225261387	365850
17453438470	691036	13	8	693170	10830725	2066270	8764455	2225278786	365850
17453668873	691036	13	8	693170	10830906	2066305	8764601	2225296260	365850
17453971444	691036	14	8	693170	10831086	2066334	8764752	2225313998	365850
17454258396	691036	15	8	693170	10831251	2066364	8764887	2225330652	365850
17454746927	691036	13	8	693170	10831421	2066393	8765028	2225347733	365850
17454953561	691036	13	8	693170	10831581	2066415	8765166	2225364363	365850
17455272282	691036	15	8	693170	10831750	2066438	8765312	2225381151	365850
17455548305	691036	14	8	693170	10831908	2066456	8765452	2225397836	365850
17455775098	691036	15	8	693170	10832080	2066489	8765591	2225415350	365850
17456158695	691036	14	8	693170	10832242	2066513	8765729	2225431840	365850
17456674408	691036	13	8	693170	10832422	2066543	8765879	2225449782	365850
17457026849	691036	13	8	693170	10832581	2066566	8766015	2225466162	365850
17457222646	691036	14	8	693170	10832751	2066594	8766157	2225483420	365850
17457575516	691036	13	8	693170	10832923	2066620	8766303	2225500629	365850
17457829301	691036	13	8	693170	10833083	2066639	8766444	2225516869	365850
17458218410	691036	14	8	693170	10833249	2066662	8766587	2225533866	365850
17458496653	691036	15	8	693170	10833421	2066691	8766730	2225550955	365850
17458896593	691036	14	8	693170	10833584	2066712	8766872	2225567750	365850
17459213748	691036	14	8	693170	10833759	2066743	8767016	2225585149	365850
17459564123	691036	15	8	693170	10833924	2066765	8767159	2225601871	365850
17459951016	691036	13	8	693170	10834099	2066792	8767307	2225619366	365850
17460282707	691036	14	8	693170	10834266	2066820	8767446	2225636279	365850
17460570205	691036	14	8	693170	10834436	2066848	8767588	2225653371	365850
17460891509	691036	14	8	693170	10834605	2066872	8767733	2225670153	365850
17461269940	691036	13	8	693170	10834769	2066898	8767871	2225686992	365850
17461752728	691036	16	8	693170	10834950	2066922	8768028	2225704403	365850
17462261509	691036	16	8	693170	10835130	2066949	8768181	2225722127	365850
17462450169	691036	17	8	693170	10835299	2066978	8768321	2225739265	365850
17462721428	691036	13	8	693170	10835463	2067003	8768460	2225756224	365850
17463035620	691036	15	8	693170	10835632	2067029	8768603	2225773133	365850
17463254905	691036	12	8	693170	10835795	2067053	8768742	2225789738	365850
17463488995	691036	15	8	693170	10835969	2067078	8768891	2225807166	365850
17463800970	691036	12	8	693170	10836133	2067102	8769031	2225823715	365850
17464130356	691036	11	8	693170	10836298	2067133	8769165	2225840736	365850
17464625066	691036	13	8	693170	10836477	2067156	8769321	2225858097	365850
17465144057	691036	13	8	693170	10836651	2067184	8769467	2225875319	365850
17465498144	691036	18	8	693170	10836831	2067207	8769624	2225892838	365850
17465854176	691036	16	8	693170	10837003	2067234	8769769	2225910339	365850
17466252329	691036	14	8	693170	10837173	2067261	8769912	2225927749	365850
17466533762	691036	14	8	693170	10837341	2067288	8770053	2225944780	365850
17466963768	691036	13	8	693170	10837499	2067310	8770189	2225961089	365850
17467256415	691036	11	8	693170	10837651	2067329	8770322	2225977222	365850
17467443569	691036	11	8	693170	10837799	2067351	8770448	2225992916	365850
17467708975	691036	13	8	693170	10837971	2067380	8770591	2226010234	365850
17467964926	691036	15	8	693170	10838138	2067411	8770727	2226026720	365850
17468246356	691036	15	8	693170	10838314	2067437	8770877	2226044341	365850
17468579254	691036	14	8	693170	10838480	2067465	8771015	2226061446	365850
17468953143	691036	16	8	693170	10838647	2067489	8771158	2226078246	365850
17469186734	691036	11	8	693170	10838805	2067508	8771297	2226095054	365850
17469586641	691036	14	8	693170	10838982	2067531	8771451	2226112399	365850
