bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
15533992784	690560	33	8	692694	9717900	1895996	7821904	2113115008	366026
15535359170	690565	32	8	692699	9718648	1896124	7822524	2113196469	366026
15536608880	690565	27	8	692699	9719381	1896234	7823147	2113270059	366026
15537872198	690568	25	8	692702	9720129	1896361	7823768	2113348433	366026
15539080933	690570	31	8	692704	9720853	1896464	7824389	2113421605	366025
15540142582	690581	29	8	692715	9721587	1896583	7825004	2113510158	366030
15541442825	690581	27	8	692715	9722292	1896702	7825590	2113580574	366030
15542407797	690581	25	8	692715	9722968	1896810	7826158	2113647724	366030
15543479537	690581	25	8	692715	9723681	1896913	7826768	2113719120	366030
15544593409	690585	33	8	692719	9724437	1897034	7827403	2113799191	366032
15545531995	690586	29	8	692720	9725181	1897158	7828023	2113875502	366032
15546839417	690589	30	8	692723	9725929	1897265	7828664	2113953754	366033
15548030462	690591	25	8	692725	9726649	1897379	7829270	2114027321	366032
15549302796	690593	33	8	692727	9727395	1897488	7829907	2114102466	366031
15550675125	690600	27	8	692734	9728115	1897601	7830514	2114188756	366030
15551757604	690602	28	8	692736	9728835	1897722	7831113	2114267376	366029
15553131231	690605	32	8	692739	9729589	1897857	7831732	2114341937	366028
15554336895	690612	19	8	692746	9730334	1897983	7832351	2114429601	366027
15555876374	690612	27	8	692746	9731082	1898094	7832988	2114503557	366027
15556962305	690614	31	8	692748	9731823	1898197	7833626	2114578152	366027
15558022804	690615	27	8	692749	9732540	1898314	7834226	2114650537	366026
15559226038	690619	29	8	692753	9733266	1898427	7834839	2114728398	366026
15560331074	690619	33	8	692753	9733984	1898526	7835458	2114800931	366026
15561507052	690619	28	8	692753	9734713	1898637	7836076	2114874675	366026
15562442046	690619	33	8	692753	9735443	1898742	7836701	2114947432	366026
15563533851	690619	31	8	692753	9736176	1898865	7837311	2115020688	366026
15564592752	690619	25	8	692753	9736894	1898967	7837927	2115093379	366026
15565816669	690620	33	8	692754	9737652	1899091	7838561	2115170928	366026
15567006901	690620	27	8	692754	9738380	1899206	7839174	2115245036	366026
15568196561	690621	28	8	692755	9739115	1899309	7839806	2115320805	366026
15569454902	690623	21	8	692757	9739839	1899417	7840422	2115405377	366025
15570630875	690628	27	8	692762	9740592	1899538	7841054	2115487201	366022
15572053214	690629	31	8	692763	9741331	1899643	7841688	2115559779	366021
15573487301	690630	27	8	692764	9742073	1899756	7842317	2115633507	366020
