bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
15704596638	672392	32	8	670919	10377851	1863909	8513942	1711417971	386527
15706009403	672395	33	8	670922	10378638	1864009	8514629	1711462699	386526
15707541700	672399	31	8	670926	10379461	1864118	8515343	1711515402	386528
15708734286	672402	30	8	670929	10380246	1864224	8516022	1711564245	386527
15710037132	672406	32	8	670933	10381010	1864348	8516662	1711612793	386528
15711457372	672410	31	8	670937	10381814	1864454	8517360	1711654550	386529
15712606991	672410	28	8	670937	10382558	1864553	8518005	1711692517	386529
15713805321	672410	28	8	670937	10383264	1864642	8518622	1711729063	386529
15715298489	672410	33	8	670937	10384031	1864751	8519280	1711768644	386529
15716525238	672416	33	8	670943	10384815	1864869	8519946	1711820185	386530
15717621960	672419	28	8	670946	10385611	1864991	8520620	1711863508	386528
15718859152	672425	32	8	670952	10386428	1865105	8521323	1711918617	386527
15720076301	672427	28	8	670954	10387202	1865225	8521977	1711960838	386527
15721240539	672427	33	8	670954	10387973	1865324	8522649	1712000868	386527
15722595966	672431	26	8	670958	10388750	1865435	8523315	1712042426	386527
15723841646	672437	27	8	670964	10389527	1865539	8523988	1712090491	386524
15725051035	672439	32	8	670966	10390311	1865638	8524673	1712138216	386525
15726355676	672443	28	8	670970	10391078	1865762	8525316	1712190007	386522
15727561653	672443	30	8	670970	10391862	1865866	8525996	1712230574	386522
15729089923	672443	31	8	670970	10392680	1865988	8526692	1712272915	386522
15730444470	672443	29	8	670970	10393456	1866102	8527354	1712312802	386522
15731711890	672445	32	8	670972	10394269	1866221	8528048	1712354869	386522
15732989419	672448	34	8	670975	10395069	1866332	8528737	1712398882	386520
15734325183	672448	29	8	670975	10395881	1866461	8529420	1712440969	386520
15735858034	672448	34	8	670975	10396678	1866573	8530105	1712482270	386520
15737389895	672448	30	8	670975	10397466	1866688	8530778	1712522812	386520
15738756058	672450	27	8	670977	10398255	1866803	8531452	1712565584	386519
15740189386	672451	34	8	670978	10399070	1866914	8532156	1712607924	386518
15741780293	672451	30	8	670978	10399847	1867020	8532827	1712647951	386518
15743059303	672452	29	8	670979	10400643	1867143	8533500	1712689332	386517
15744026658	672454	25	8	670981	10401366	1867234	8534132	1712727011	386515
15745458332	672458	27	8	670985	10402179	1867348	8534831	1712769727	386513
15746802428	672460	34	8	670987	10402959	1867461	8535498	1712813658	386513
15748163486	672460	28	8	670987	10403756	1867574	8536182	1712854682	386513
15749512853	672462	30	8	670989	10404529	1867680	8536849	1712894914	386512
15750772309	672465	28	8	670992	10405310	1867787	8537523	1712937048	386510
15752056803	672465	32	8	670992	10406098	1867890	8538208	1712977708	386510
15753481212	672467	32	8	670994	10406903	1868013	8538890	1713023925	386510
15754650975	672467	27	8	670994	10407686	1868127	8539559	1713064254	386510
