bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
13633912149	667366	29	8	665893	9110241	1683504	7426737	1637890812	387001
13635456842	667366	47	8	665893	9111141	1683619	7427522	1637936682	387001
13636729893	667366	44	8	665893	9112057	1683745	7428312	1637984365	387001
13638223370	667366	37	8	665893	9112976	1683886	7429090	1638031686	387001
13640141094	667366	44	8	665893	9113927	1684016	7429911	1638080929	387001
13641282290	667366	41	8	665893	9114834	1684139	7430695	1638127575	387001
13642688212	667366	39	8	665893	9115802	1684299	7431503	1638177515	387001
13644545479	667366	43	8	665893	9116782	1684433	7432349	1638227803	387001
13645830924	667366	38	8	665893	9117682	1684553	7433129	1638274078	387001
13647624014	667366	47	8	665893	9118651	1684691	7433960	1638324317	387001
13648852099	667366	35	8	665893	9119547	1684825	7434722	1638370777	387001
13650473832	667366	42	8	665893	9120493	1684961	7435532	1638419212	387001
13652104194	667366	45	8	665893	9121421	1685088	7436333	1638467477	387001
13653778861	667366	39	8	665893	9122329	1685209	7437120	1638514179	387001
13655242145	667366	39	8	665893	9123251	1685335	7437916	1638561567	387001
13656672878	667367	43	8	665894	9124172	1685461	7438711	1638615472	387000
13658046205	667367	39	8	665894	9125084	1685594	7439490	1638662674	387000
13659561996	667368	43	8	665895	9126027	1685723	7440304	1638711295	387001
13661009557	667368	44	8	665895	9126951	1685860	7441091	1638759160	387001
13662549440	667368	44	8	665895	9127901	1686002	7441899	1638808036	387001
13664542123	667368	46	8	665895	9128867	1686156	7442711	1638858365	387001
13665773524	667368	46	8	665895	9129759	1686279	7443480	1638904642	387001
13667676008	667368	43	8	665895	9130658	1686393	7444265	1638950816	387001
13669100228	667368	39	8	665895	9131598	1686522	7445076	1638999069	387001
13670639958	667368	46	8	665895	9132525	1686652	7445873	1639047253	387001
13672090225	667368	41	8	665895	9133437	1686778	7446659	1639094409	387001
13673523080	667368	41	8	665895	9134377	1686930	7447447	1639142890	387001
13674947159	667368	44	8	665895	9135317	1687057	7448260	1639191599	387001
13676490565	667368	39	8	665895	9136226	1687192	7449034	1639238735	387001
13678140709	667368	46	8	665895	9137180	1687320	7449860	1639288014	387001
13679694812	667368	42	8	665895	9138099	1687450	7450649	1639335383	387001
13681361180	667368	43	8	665895	9139054	1687588	7451466	1639384398	387001
13683165161	667368	44	8	665895	9139982	1687718	7452264	1639432561	387001
13684671220	667368	39	8	665895	9140904	1687833	7453071	1639480033	387001
13686391725	667368	42	8	665895	9141861	1687963	7453898	1639529265	387001
13688110403	667368	42	8	665895	9142816	1688099	7454717	1639578510	387001
13689449236	667368	46	8	665895	9143735	1688232	7455503	1639625957	387001
13690847569	667368	39	8	665895	9144656	1688356	7456300	1639673504	387001
13692566312	667368	41	8	665895	9145610	1688484	7457126	1639722633	387001
13693887899	667368	45	8	665895	9146537	1688604	7457933	1639770088	387001
13695188047	667368	41	8	665895	9147448	1688722	7458726	1639816854	387001
13696845958	667368	41	8	665895	9148386	1688853	7459533	1639865547	387001
13698257496	667368	41	8	665895	9149327	1688989	7460338	1639914149	387001
13699907580	667368	41	8	665895	9150278	1689122	7461156	1639962973	387001
13701168213	667368	43	8	665895	9151206	1689249	7461957	1640010928	387001
13702354092	667368	38	8	665895	9152134	1689391	7462743	1640058990	387001
13703669507	667368	46	8	665895	9153086	1689534	7463552	1640108330	387001
13705146897	667368	42	8	665895	9154003	1689662	7464341	1640155664	387001
13706753669	667368	45	8	665895	9154954	1689799	7465155	1640204631	387001
13708114944	667368	42	8	665895	9155897	1689939	7465958	1640253659	387001
13709730117	667368	43	8	665895	9156846	1690082	7466764	1640302804	387001
13711382102	667368	45	8	665895	9157786	1690215	7467571	1640350949	387001
13712860377	667368	38	8	665895	9158719	1690346	7468373	1640399164	387001
13714347141	667380	42	8	665907	9159693	1690491	7469202	1640469636	387005
13715901191	667380	46	8	665907	9160653	1690629	7470024	1640519202	387005
13717235280	667380	44	8	665907	9161577	1690751	7470826	1640566622	387005
13718568659	667380	43	8	665907	9162509	1690886	7471623	1640615065	387005
13719752451	667380	39	8	665907	9163350	1691003	7472347	1640658580	387005
13721345640	667380	41	8	665907	9164232	1691137	7473095	1640703985	387005
