bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
15704204894	3380411	27	8	3684858	12846709	1733820	11112889	2023677357	482175
15705829697	3380695	44	8	3685169	12847968	1733971	11113997	2023760459	482175
15707437828	3380997	40	8	3685500	12849294	1734101	11115193	2023848009	482175
15709108403	3381306	34	8	3685842	12850604	1734220	11116384	2023934721	482175
15710874978	3381613	45	8	3686184	12851943	1734347	11117596	2024023395	482175
15712986487	3381917	40	8	3686533	12853262	1734478	11118784	2024111173	482175
15714814656	3382229	44	8	3686888	12854611	1734604	11120007	2024200764	482175
15716688780	3382530	43	8	3687213	12855925	1734725	11121200	2024287353	482175
15718433010	3382844	37	8	3687564	12857278	1734866	11122412	2024376880	482175
15720173004	3383148	46	8	3687903	12858615	1735002	11123613	2024465673	482175
15721953243	3383456	35	8	3688259	12859962	1735137	11124825	2024555235	482175
15723664945	3383761	38	8	3688600	12861294	1735280	11126014	2024643291	482175
15725670497	3384062	44	8	3688939	12862632	1735415	11127217	2024732077	482175
15727382503	3384375	40	8	3689283	12863985	1735565	11128420	2024821473	482175
15729128246	3384674	36	8	3689622	12865294	1735685	11129609	2024908191	482175
15731311848	3384983	42	8	3689969	12866667	1735830	11130837	2025002177	482176
15733490992	3385294	36	8	3690317	12868023	1735959	11132064	2025091829	482176
15735228347	3385594	36	8	3690655	12869339	1736087	11133252	2025178660	482176
15737047758	3385897	39	8	3691005	12870669	1736207	11134462	2025267202	482176
15738670377	3386202	46	8	3691349	12871981	1736330	11135651	2025354510	482176
15740432093	3386506	43	8	3691695	12873328	1736466	11136862	2025443666	482176
15742202075	3386809	45	8	3692037	12874675	1736614	11138061	2025533090	482176
15743939929	3387113	45	8	3692369	12875962	1736744	11139218	2025618309	482176
15745872307	3387425	36	8	3692717	12877320	1736893	11140427	2025708188	482176
15747884447	3387723	40	8	3693045	12878653	1737033	11141620	2025796217	482176
15749670832	3388030	41	8	3693404	12879985	1737160	11142825	2025885209	482176
15751437422	3388341	36	8	3693751	12881301	1737276	11144025	2025972580	482176
15753199907	3388646	39	8	3694084	12882636	1737420	11145216	2026061103	482176
15755055835	3388959	33	8	3694429	12883982	1737561	11146421	2026190249	482178
15756764225	3389267	43	8	3694767	12885308	1737691	11147617	2026278256	482178
15758320173	3389573	42	8	3695104	12886599	1737814	11148785	2026364285	482178
15760021313	3389880	36	8	3695448	12887923	1737953	11149970	2026452045	482178
15761485294	3390183	44	8	3695802	12889281	1738099	11151182	2026542671	482178
15763132063	3390494	41	8	3696142	12890629	1738229	11152400	2026631410	482178
15764807547	3390803	40	8	3696479	12891968	1738368	11153600	2026719908	482178
15766239322	3391112	37	8	3696825	12893287	1738509	11154778	2026808110	482178
15768299387	3391420	41	8	3697172	12894636	1738637	11155999	2026897439	482178
15770093380	3391734	40	8	3697513	12895974	1738764	11157210	2026985616	482178
15771679780	3392037	41	8	3697846	12897299	1738912	11158387	2027073365	482178
15773211097	3392334	43	8	3698174	12898597	1739052	11159545	2027159464	482178
15774877652	3392645	39	8	3698530	12899948	1739195	11160753	2027249411	482178
15776735979	3392957	44	8	3698877	12901299	1739326	11161973	2027338926	482178
15779027765	3393262	45	8	3699215	12902647	1739445	11163202	2027427711	482178
15780693476	3393578	38	8	3699554	12904000	1739584	11164416	2027516794	482178
15782322158	3393882	41	8	3699891	12905350	1739732	11165618	2027606012	482178
15784340412	3394194	36	8	3700231	12906689	1739859	11166830	2027694283	482178
15785830635	3394498	43	8	3700576	12908012	1739967	11168045	2027782060	482178
15787790567	3394806	41	8	3700918	12909352	1740091	11169261	2027870532	482178
15789518327	3395116	43	8	3701256	12910704	1740229	11170475	2027959650	482178
15791106922	3395426	46	8	3701605	12912065	1740366	11171699	2028049850	482178
15792771016	3395736	38	8	3701940	12913377	1740483	11172894	2028136567	482178
15794313879	3396041	41	8	3702277	12914677	1740615	11174062	2028222895	482178
15796033786	3396351	42	8	3702622	12916013	1740747	11175266	2028311637	482178
15797742022	3396673	39	8	3702965	12917371	1740904	11176467	2028402418	482186
15799490660	3396979	48	8	3703306	12918696	1741024	11177672	2028490345	482186
15801176371	3397291	41	8	3703646	12920028	1741173	11178855	2028578760	482186
15803213929	3397598	41	8	3703982	12921380	1741316	11180064	2028667880	482186
15804788800	3397886	40	8	3704311	12922616	1741419	11181197	2028750057	482186
15806168941	3398178	39	8	3704645	12923861	1741544	11182317	2028833049	482186
15808051317	3398456	50	8	3704977	12925127	1741679	11183448	2028917336	482186
15809763396	3398762	40	8	3705315	12926436	1741791	11184645	2029004204	482186
15811798762	3399069	36	8	3705655	12927786	1741936	11185850	2029093377	482186
15813518620	3399375	42	8	3705995	12929110	1742064	11187046	2029181223	482186
15815160530	3399688	37	8	3706337	12930425	1742180	11188245	2029268352	482186
15817178337	3399994	36	8	3706669	12931756	1742317	11189439	2029356212	482186
15818783245	3400301	44	8	3707010	12933148	1742469	11190679	2029447580	482186
15820559689	3400614	37	8	3707358	12934512	1742619	11191893	2029537750	482186
15822014368	3400918	47	8	3707696	12935833	1742763	11193070	2029626021	482186
15824137589	3401234	35	8	3708041	12937173	1742895	11194278	2029714371	482186
15825625459	3401536	35	8	3708379	12938469	1743012	11195457	2029800652	482186
15827111930	3401844	43	8	3708726	12939800	1743140	11196660	2029889375	482186
15829275382	3402154	42	8	3709066	12941156	1743270	11197886	2029978478	482186
15830838276	3402466	37	8	3709412	12942492	1743388	11199104	2030073517	482186
15832588860	3402775	42	8	3709758	12943874	1743555	11200319	2030164846	482186
15834443001	3403088	40	8	3710098	12945225	1743688	11201537	2030253751	482186
15836237942	3403396	38	8	3710439	12946546	1743814	11202732	2030341456	482186
15838287051	3403705	42	8	3710780	12947901	1743960	11203941	2030430918	482186
15839690636	3403995	49	8	3711101	12949201	1744103	11205098	2030516621	482186
15841427912	3404308	39	8	3711456	12950546	1744233	11206313	2030605674	482186
15842939922	3404617	43	8	3711802	12951877	1744354	11207523	2030694238	482186
15844716557	3404931	36	8	3712148	12953227	1744492	11208735	2030783633	482186
15846382263	3405238	41	8	3712490	12954546	1744604	11209942	2030871367	482186
15847885502	3405544	36	8	3712830	12955864	1744740	11211124	2030958454	482186
15849904986	3405843	46	8	3713167	12957202	1744864	11212338	2031047099	482186
15851331313	3406151	40	8	3713515	12958535	1745017	11213518	2031135686	482186
15853265341	3406458	39	8	3713864	12959860	1745154	11214706	2031224056	482186
15855194086	3406758	47	8	3714198	12961191	1745275	11215916	2031311857	482186
15856983078	3407069	34	8	3714543	12962542	1745406	11217136	2031400560	482186
15858504019	3407373	36	8	3714876	12963830	1745529	11218301	2031486392	482186
15860396844	3407682	40	8	3715212	12965173	1745674	11219499	2031588031	482187
15862206310	3407990	40	8	3715548	12966525	1745808	11220717	2031677022	482187
15863785437	3408304	35	8	3715899	12967851	1745921	11221930	2031764913	482187
15865601562	3408602	43	8	3716249	12969150	1746049	11223101	2031851849	482187
15867125912	3408905	37	8	3716580	12970457	1746177	11224280	2031938663	482187
15869063768	3409216	37	8	3716932	12971805	1746299	11225506	2032027744	482187
15870968899	3409518	42	8	3717279	12973169	1746445	11226724	2032118203	482187
15872420030	3409826	40	8	3717623	12974482	1746584	11227898	2032205734	482187
15874164186	3410133	36	8	3717970	12975790	1746716	11229074	2032292597	482187
15875784336	3410429	39	8	3718307	12977094	1746839	11230255	2032379434	482187
15877734185	3410717	37	8	3718643	12978375	1746966	11231409	2032464456	482187
15879397314	3410998	33	8	3718971	12979601	1747089	11232512	2032546366	482187
15881171221	3411299	44	8	3719310	12980933	1747215	11233718	2032634189	482187
15882991362	3411598	44	8	3719651	12982229	1747336	11234893	2032720795	482187
15884895882	3411913	31	8	3719995	12983572	1747470	11236102	2032809258	482187
