Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.325871	0.919419	1.058211	1.476343	1.004207	0.997807	1.351021	0.987840	
1.401680	0.919367	1.049616	1.404124	0.938464	1.005417	1.497932	0.992891	
1.310376	0.914872	1.036935	1.429409	0.960157	0.985421	1.330060	0.954589	
1.398134	0.923571	1.031376	1.417493	0.958843	0.975513	1.385631	0.966063	
1.579414	0.909787	1.042961	1.284471	0.936746	0.990337	1.388183	0.954544	
1.479515	0.918101	1.034223	1.490414	0.965734	0.981738	1.308905	0.969156	
1.364683	0.917486	1.032939	1.331694	1.054435	0.998300	1.294320	0.971284	
1.660520	0.913762	1.031561	1.428410	0.963754	0.982999	1.146890	0.959940	
1.610561	0.937851	1.006683	1.610604	0.953384	0.992660	1.244069	0.969337	
1.601629	0.941918	1.018446	1.597112	0.960054	0.991391	1.432711	0.959690	
1.263562	0.912288	0.984118	1.574808	0.922762	0.993474	1.475406	0.946645	
1.437862	0.914210	1.012659	1.365009	0.933801	0.986753	1.306927	0.978464	
1.540301	0.904078	1.015225	1.390634	0.954191	0.978207	1.259194	0.964596	
1.645056	0.921504	0.999798	1.570115	0.942280	0.990892	1.213431	0.966573	
1.459790	0.918906	1.011652	1.625992	0.945058	1.001178	1.429196	0.962316	
1.278626	0.940410	0.984601	1.532197	1.009744	1.003300	1.483634	0.960858	
1.230207	0.934139	1.002086	1.228446	0.954666	0.985670	1.206695	0.966092	
1.575518	0.906358	1.035360	1.195959	0.936419	0.988056	1.171048	0.951347	
1.579364	0.931545	1.043207	1.401432	0.944460	0.998198	1.148404	0.963313	
1.555023	0.932180	1.028570	1.544229	1.010289	1.001394	1.426042	0.959666	
1.212296	0.921363	0.983396	1.501956	0.945123	0.979154	1.442805	0.946505	
1.250423	0.914211	1.015331	1.407624	0.956025	0.981065	1.404457	0.960421	
1.501105	0.912997	1.035666	1.255462	0.945825	1.057471	1.315638	0.965375	
1.641883	0.949809	1.062325	1.420623	0.963206	0.998041	1.194767	0.957415	
1.646466	0.919851	1.039966	1.467787	0.971418	1.033935	1.179023	0.955655	
1.637462	0.900036	0.977982	1.580244	0.946238	0.982017	1.321457	0.945916	
1.482238	0.903974	0.952581	1.462316	0.932492	0.983356	1.417171	0.968356	
1.180203	0.922577	0.961199	1.485133	0.938364	0.977291	1.207453	0.956194	
1.436811	0.902487	0.982839	1.252817	0.938441	0.969154	1.257359	0.954945	
1.534793	0.916979	0.983455	1.414611	0.945143	0.982806	1.187538	0.965129	
1.409505	0.919355	0.973327	1.473781	0.937917	0.980012	1.236475	0.958896	
1.377765	0.903855	0.995674	1.314976	0.936294	1.003727	1.354660	0.993929	
1.338678	0.918269	1.014091	1.342365	0.938628	1.001934	1.311834	0.969213	
1.388728	0.905735	1.014200	1.299812	0.947273	0.995985	1.285423	0.960595	
1.532312	0.899475	0.995995	1.390418	0.967113	0.989635	1.285312	0.955397	
1.404960	0.907220	0.977968	1.437399	0.993084	0.992103	1.305633	0.964504	
1.205399	0.912255	0.993132	1.090477	0.940986	1.002584	1.132681	0.960931	
1.363387	0.927847	1.069072	1.321355	0.974482	0.989569	1.190491	0.957787	
1.572742	0.905032	1.055786	1.401169	0.955490	0.986893	1.303457	0.952394	
1.473889	0.926957	1.037463	1.541909	1.011792	0.992650	1.336533	0.960307	
1.352307	0.924690	1.052446	1.460820	0.956527	0.993497	1.468706	0.971181	
1.388444	0.916365	1.062430	1.481970	0.955452	1.012473	1.415642	0.975371	
1.522083	0.926609	1.075149	1.330577	0.952816	0.994599	1.329485	0.969127	
1.664576	0.921051	1.062313	1.431853	0.961675	0.990988	1.201415	0.973021	
1.524837	0.951123	1.071951	1.615700	0.949263	1.007827	1.355279	0.979910	
1.338605	0.935668	1.045519	1.478406	0.945473	0.978224	1.519335	0.968534	
1.419663	0.923952	1.036967	1.289804	0.942276	0.991898	1.351368	0.966233	
1.464714	0.914837	1.047824	1.452894	0.953206	1.018815	1.228209	0.970361	
1.603880	0.942509	1.062209	1.285299	0.954110	0.990187	1.248842	0.969848	
1.525712	0.934921	1.070621	1.613314	0.951630	1.075288	1.253284	0.972289	
1.484563	0.946442	1.038612	1.617230	0.943157	1.002024	1.507895	0.968307	
1.508271	0.935188	1.027629	1.568405	0.938379	0.999181	1.486258	0.967141	
1.327241	0.906654	0.990586	1.332677	0.948540	0.979813	1.327518	0.973329	
1.637794	0.928439	1.034927	1.322944	0.950218	0.978085	1.392086	0.947828	
1.666024	0.908926	1.036985	1.497562	0.946348	0.990213	1.300009	0.985426	
1.630773	0.933556	1.031654	1.551319	0.965442	0.993935	1.296981	0.988525	
1.644563	0.912284	1.018576	1.595712	0.943286	0.986822	1.400811	0.970851	
1.263497	0.929822	0.978300	1.471727	1.041274	0.982426	1.453510	0.967455	
1.331145	0.943058	1.050292	1.365468	1.029514	1.011923	1.384779	0.960957	
1.595517	0.926527	1.074570	1.435935	0.963246	1.002783	1.329024	0.966624	
1.528907	0.928002	1.071257	1.470855	0.960567	0.997895	1.303933	0.972242	
1.501974	0.952661	1.070244	1.566572	0.941647	1.055752	1.406007	0.966537	
1.425357	0.931938	1.053156	1.529327	0.952873	1.004868	1.467723	0.974645	
1.571689	0.918002	1.040188	1.444614	0.945549	0.986614	1.290661	0.976531	
1.513070	0.914515	1.070753	1.492465	0.937018	0.996981	1.412663	0.964111	
1.591999	0.943791	1.081784	1.550607	0.950325	1.063816	1.419023	0.970608	
1.472697	0.929354	1.061960	1.568608	0.973505	0.989317	1.404161	0.966855	
1.603591	0.910360	1.054309	1.418242	0.946341	0.994127	1.457830	0.973036	
1.316980	0.938492	1.039560	1.551514	0.966260	0.986131	1.377714	0.969032	
1.501474	0.912309	1.048867	1.257028	0.957933	0.989131	1.428119	0.964789	
1.595125	0.922850	1.046589	1.411353	0.948795	0.990251	1.159453	0.960430	
1.430596	0.927659	1.066170	1.522744	0.950356	1.013784	1.459628	0.963450	
1.309955	0.935871	1.066581	1.368034	0.940376	0.997925	1.396657	0.988067	
1.501759	0.937270	1.051441	1.348453	0.976435	0.993865	1.247712	0.963925	
1.684119	0.921994	1.036986	1.493488	0.953438	0.995851	1.300229	0.960376	
1.480308	0.934574	1.045876	1.640177	0.938189	0.996115	1.521544	0.966071	
1.331321	0.944293	1.051874	1.403832	0.967150	1.080212	1.417623	0.983816	
1.504907	0.925547	1.085691	1.425200	0.951371	1.018860	1.391388	0.981441	
1.548342	0.934580	1.081694	1.463362	0.997833	0.992447	1.326960	0.978772	
1.526113	0.910518	1.082309	1.506886	0.959389	0.997955	1.452598	0.982372	
1.532263	0.936683	1.071219	1.410584	0.948377	0.980619	1.483003	0.985586	
1.407432	0.941738	1.063561	1.495659	0.945039	1.000780	1.249269	0.978310	
1.603799	0.937876	1.087646	1.375036	0.945503	1.016240	1.459131	1.005622	
1.624681	0.935756	1.098834	1.523117	0.952662	1.010344	1.287565	0.990628	
1.285095	0.941568	1.088469	1.553706	0.946773	1.086786	1.422415	0.974420	
1.666678	0.929593	1.062361	1.326163	0.936467	1.011704	1.499328	1.007430	
1.505739	0.929159	1.054716	1.577474	0.960439	0.996379	1.356229	0.976223	
1.476220	0.944457	1.083568	1.406796	0.973036	1.004286	1.496814	0.990596	
1.603045	0.923908	1.068213	1.339286	0.958466	0.992114	1.286181	1.006081	
1.514456	0.903217	1.068004	1.538758	0.996680	0.998993	1.237310	0.995949	
1.489832	0.916936	1.077875	1.421354	0.950039	1.019492	1.427095	0.989792	
1.440401	0.911144	1.050639	1.449777	0.946065	0.986582	1.327739	0.960645	
1.460555	0.927431	1.044513	1.257833	0.941550	0.978544	1.374951	0.963320	
1.428349	0.932338	1.047566	1.526690	0.955504	1.002162	1.289391	0.967822	
1.459576	0.909854	1.064841	1.334311	0.964665	0.996472	1.412554	0.957707	
1.422821	0.907916	1.073481	1.385089	0.951422	0.996814	1.284611	0.974890	
1.468068	0.912036	1.049789	1.386249	0.949624	0.987944	1.265343	0.971652	
1.715142	0.919929	1.036109	1.450603	1.001353	1.014448	1.380378	0.970276	
1.320297	0.931570	1.002680	1.613683	0.945684	0.988754	1.349102	0.965113	
1.361188	0.913914	1.042076	1.332704	0.944351	0.989238	1.519788	0.980578	
1.531494	0.897949	1.050962	1.254320	0.956369	1.061508	1.351169	0.965270	
1.590365	0.926784	1.043275	1.514056	0.955136	0.996887	1.210607	0.974873	
1.710047	0.919274	1.060266	1.558195	0.947631	0.991828	1.427830	0.960552	
1.643679	0.929803	0.992605	1.665992	0.936771	0.994612	1.526189	0.976299	
1.456803	0.945687	0.994644	1.640248	0.954716	0.995278	1.568367	0.964767	
1.608755	0.923399	1.031674	1.533361	0.971236	1.084563	1.561459	1.005754	
1.645837	0.934666	1.054472	1.597948	0.957059	1.000279	1.517185	0.968848	
1.648189	0.935100	1.044904	1.598931	0.949184	0.993903	1.559945	0.979749	
1.677205	0.925315	1.053564	1.577276	0.947392	0.996526	1.495517	0.974124	
1.728519	0.937438	1.032637	1.620048	0.946190	0.982035	1.452108	0.972658	
1.665824	0.942121	1.080657	1.614354	0.950086	0.990514	1.536490	0.975640	
1.597241	0.948426	1.081002	1.602139	0.955951	1.026031	1.508656	0.986269	
1.629198	0.917153	1.098977	1.551153	0.962108	1.005172	1.448436	0.973159	
1.674120	0.944494	1.092561	1.560294	0.952220	1.012093	1.428848	0.983806	
1.668928	0.933526	1.088481	1.605721	0.947681	1.000851	1.421228	0.992087	
1.605451	0.945151	1.072874	1.628004	0.945756	1.004043	1.489486	0.980973	
1.554314	0.934885	1.088350	1.528496	0.957894	1.002861	1.532553	0.997070	
1.613032	0.950702	1.113711	1.568715	0.952159	1.000763	1.429250	1.005516	
1.652120	0.943915	1.093412	1.501754	0.936508	0.998343	1.436173	0.974019	
1.702566	0.927814	1.069252	1.595685	0.940765	1.008269	1.424885	0.972567	
1.516755	0.952197	1.078588	1.649452	0.954687	0.999459	1.481006	0.996057	
1.460319	0.930094	1.078289	1.453773	0.942624	0.986736	1.466502	0.981198	
1.462503	0.926703	1.072717	1.431318	0.955791	0.994453	1.326564	1.016230	
1.599320	0.942335	1.078982	1.430387	0.942729	1.002941	1.373943	0.967228	
1.535443	0.924902	1.084886	1.580991	0.949481	1.005101	1.335595	1.030322	
1.333448	0.947711	1.069806	1.469082	0.945289	1.008073	1.458042	0.975872	
1.476833	0.919615	1.062205	1.383908	0.949407	0.998749	1.389783	1.031895	
1.462470	0.920768	1.060775	1.465200	0.947596	0.998182	1.396199	0.969014	
1.478403	0.936536	1.082546	1.372068	0.944864	1.000589	1.351874	0.976880	
1.519505	0.929894	1.087061	1.449741	0.939851	1.006373	1.298256	0.973285	
1.614666	0.927204	1.088015	1.465820	0.959529	1.006263	1.253879	0.973253	
1.510388	0.930857	1.068663	1.522326	0.956149	1.066797	1.370023	0.982457	
1.266103	0.924369	1.060642	1.501678	0.962906	1.010130	1.473783	1.031579	
1.271615	0.950735	1.054129	1.239305	0.945557	0.988964	1.404260	0.955729	
1.448885	0.933388	1.057015	1.240133	0.941914	0.991648	1.145428	0.944022	
