Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
2.152990	0.921365	1.063785	1.652277	0.949524	0.994372	1.396260	0.967684	
2.024696	0.917348	1.066793	1.504914	0.955390	0.985112	1.378087	0.969877	
2.219158	0.950157	1.070085	1.725459	0.938788	0.995063	1.454901	0.962693	
1.971745	0.931630	1.035427	1.482407	0.940717	0.975349	1.478381	0.979289	
2.216968	0.932994	1.052077	1.871967	0.939798	1.002130	1.758994	0.955782	
2.072552	0.910260	1.062803	1.742441	0.923009	1.009463	1.575136	0.971868	
2.191759	0.907760	1.071078	1.369763	0.934254	1.061289	1.487954	1.008467	
2.082148	0.931266	1.084414	1.815982	0.944525	1.015729	1.303570	0.990842	
2.028746	0.943364	1.102204	1.615961	0.947167	1.018229	1.374497	1.000984	
1.792006	0.893481	1.056082	1.429402	0.937081	0.995333	1.144365	0.987780	
1.715142	0.939147	1.057630	1.411318	0.941473	0.987930	1.399419	0.957297	
1.921778	0.929687	1.007034	1.612547	0.936545	0.993412	1.632826	0.974612	
1.857359	0.912357	1.035779	1.547402	0.930996	0.997918	1.682669	0.954281	
2.046857	0.938456	1.044090	1.975285	0.946065	0.988783	1.733327	0.964381	
2.244691	0.941272	1.056571	1.625143	0.936345	1.007400	1.582091	0.971354	
2.187334	0.941629	1.089224	1.646569	0.948810	1.015527	1.695252	0.987814	
2.169755	0.908726	1.079440	1.632995	0.942700	0.994018	1.266573	0.963561	
2.166023	0.921641	1.086338	1.580793	0.936429	0.996518	1.542610	0.973815	
2.074156	0.913106	1.072638	1.555963	0.951249	0.990831	1.362943	0.978761	
2.017641	0.911185	1.038472	1.364653	0.999356	1.005950	1.354483	0.968361	
2.117518	0.937247	1.019274	1.760195	0.942649	0.994350	1.703890	0.947465	
2.109255	0.940843	1.073870	1.658186	0.946926	1.038468	1.685395	0.982353	
2.004394	0.926279	1.074974	1.841348	0.940478	1.018830	1.586542	0.976285	
2.048016	0.940685	1.056691	1.670517	0.935135	1.067372	1.682747	0.950580	
1.988551	0.922440	1.085121	1.812491	0.949086	1.014874	1.622447	0.963171	
1.926274	0.911980	1.068572	1.626839	0.925540	0.983344	1.301488	0.968810	
2.003857	0.921744	1.069595	1.669354	0.938666	1.013093	1.594247	0.951578	
1.978153	0.930663	1.060600	1.488240	0.934170	0.997140	1.393204	0.955769	
1.918008	0.908450	0.995031	1.443673	0.957070	0.985128	1.699967	0.949000	
2.248774	0.925472	1.055952	1.761277	0.950826	1.024489	1.765839	0.969591	
2.109736	0.923439	1.051234	1.862091	0.956556	1.022533	1.692110	0.962750	
2.316143	0.945495	1.062610	1.805656	0.941110	1.004034	1.630819	0.964241	
2.282588	0.947175	1.061661	1.868435	0.938459	1.011458	1.638720	0.980281	
2.133444	0.934748	1.084819	1.611939	0.932332	1.029258	1.632240	0.979757	
2.101128	0.956075	1.083939	1.729768	0.942402	0.999308	1.339228	0.970935	
1.952301	0.940872	1.080471	1.562604	0.931102	1.000277	1.392330	1.007492	
2.045572	0.918083	1.069926	1.722294	0.955047	1.005877	1.629732	0.984493	
1.818289	0.934399	1.047299	1.620590	0.945218	0.998325	1.310379	0.959703	
2.130982	0.919406	1.041713	1.715237	1.007375	0.997361	1.689557	0.965463	
1.991828	0.944962	1.075401	1.751938	0.980961	0.987478	1.559876	0.986210	
2.092090	0.947721	1.072885	1.724506	0.939989	1.006887	1.561593	0.993751	
2.095093	0.944198	1.069773	1.778077	1.004900	1.053365	1.297697	0.967251	
2.186050	0.938700	1.089810	1.582673	0.927168	1.006404	1.612363	0.983801	
1.902859	0.912208	1.063158	1.458437	0.957679	1.011686	1.329395	0.962491	
1.863017	0.917624	1.060311	1.479807	0.941702	0.993118	1.622604	0.977115	
1.888815	0.928559	1.039211	1.556208	0.938745	0.998240	1.720470	0.963738	
2.132849	0.896103	1.051061	1.753356	0.935848	0.988080	1.600111	0.968080	
1.971985	0.931659	1.066742	1.694725	0.960587	1.005910	1.642331	0.977451	
2.088854	0.920759	1.050904	1.457029	0.937195	0.969580	1.282776	0.951883	
2.083300	0.962738	1.096356	1.839507	0.953550	1.018402	1.753962	0.965594	
1.915094	0.930491	1.078606	1.787384	0.952719	1.068585	1.414942	0.970108	
2.150334	0.942841	1.043038	1.505040	0.931028	0.996347	1.323032	0.955473	
2.100169	0.946671	1.072724	1.716916	0.944154	0.999551	1.737080	0.969253	
1.668882	0.950772	1.052019	1.622817	0.941143	1.051037	1.426111	0.960560	
1.987647	0.907165	1.024190	1.731058	0.941473	0.998474	1.694263	0.977268	
2.011246	0.937359	1.084547	1.919026	0.935024	0.992893	1.515151	0.976114	
2.003411	0.929494	1.043637	1.338571	0.949110	0.994238	1.514975	0.947752	
