bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
14434362263	3158204	20	8	3440271	11891987	1637870	10254117	1957766827	481910
14435190611	3158366	26	8	3440446	11892665	1637949	10254716	1957829275	481914
14436100465	3158530	24	8	3440617	11893366	1638020	10255346	1957875265	481914
14437197694	3158690	30	8	3440790	11894091	1638099	10255992	1957922636	481914
14438009937	3158855	22	8	3440963	11894795	1638172	10256623	1957968939	481914
14438966757	3159016	29	8	3441143	11895498	1638234	10257264	1958015645	481914
14439867830	3159181	22	8	3441322	11896187	1638292	10257895	1958061477	481915
14440650262	3159344	24	8	3441501	11896898	1638367	10258531	1958108373	481915
14441414261	3159512	25	8	3441690	11897624	1638434	10259190	1958156470	481915
14442461769	3159679	23	8	3441870	11898344	1638497	10259847	1958203537	481916
14443518528	3159846	17	8	3442053	11899067	1638570	10260497	1958251276	481916
14444474687	3160006	23	8	3442233	11899752	1638626	10261126	1958296899	481916
14445327936	3160169	23	8	3442414	11900465	1638703	10261762	1958344190	481916
14446275824	3160335	21	8	3442593	11901167	1638766	10262401	1958390570	481916
14447035300	3160501	24	8	3442774	11901880	1638833	10263047	1958437707	481916
14447809164	3160658	20	8	3442955	11902568	1638911	10263657	1958483619	481916
14448744012	3160822	18	8	3443133	11903289	1638981	10264308	1958531269	481916
14449681546	3160986	25	8	3443314	11904006	1639055	10264951	1958578667	481916
14450885000	3161153	20	8	3443493	11904750	1639135	10265615	1958628957	481916
14451792620	3161317	22	8	3443667	11905446	1639208	10266238	1958675528	481918
14452686927	3161482	22	8	3443843	11906149	1639278	10266871	1958722082	481918
14453646983	3161645	23	8	3444017	11906835	1639342	10267493	1958767558	481918
14454571823	3161817	17	8	3444207	11907568	1639420	10268148	1958816033	481918
14455365174	3161978	23	8	3444379	11908260	1639484	10268776	1958861906	481918
14456258559	3162141	24	8	3444552	11908972	1639560	10269412	1958908659	481918
14457133539	3162309	25	8	3444739	11909700	1639625	10270075	1958957992	481919
14458294896	3162473	25	8	3444920	11910438	1639705	10270733	1959023354	481919
14459169560	3162643	22	8	3445117	11911194	1639788	10271406	1959077734	481920
14460147660	3162807	24	8	3445299	11911915	1639855	10272060	1959125291	481920
14461052475	3162980	23	8	3445499	11912658	1639938	10272720	1959175707	481928
14462121411	3163152	18	8	3445682	11913365	1640009	10273356	1959222894	481929
14462952755	3163316	23	8	3445857	11914058	1640075	10273983	1959268797	481929
14463914378	3163484	22	8	3446040	11914799	1640155	10274644	1959324917	481930
14464764531	3163648	27	8	3446225	11915495	1640216	10275279	1959372357	481931
14465597182	3163809	25	8	3446412	11916200	1640283	10275917	1959419504	481931
14466646790	3163975	23	8	3446611	11916935	1640359	10276576	1959468701	481931
14467293295	3164141	20	8	3446791	11917635	1640433	10277202	1959515537	481931
14468289637	3164311	25	8	3446980	11918349	1640509	10277840	1959589422	481934
14469382060	3164478	21	8	3447163	11919068	1640589	10278479	1959636834	481934
14470531311	3164640	24	8	3447335	11919784	1640664	10279120	1959683963	481934
14471281589	3164809	22	8	3447520	11920498	1640745	10279753	1959736286	481934
14472246447	3164968	24	8	3447695	11921209	1640821	10280388	1959783177	481934
14473007642	3165134	24	8	3447873	11921938	1640891	10281047	1959831130	481934
14473892414	3165300	25	8	3448056	11922643	1640959	10281684	1959877884	481934
14474775386	3165464	25	8	3448231	11923365	1641034	10282331	1959925163	481934
14475618388	3165628	26	8	3448413	11924078	1641113	10282965	1959973170	481933
14476606957	3165793	25	8	3448600	11924804	1641190	10283614	1960021096	481933
14477312613	3165962	29	8	3448787	11925538	1641272	10284266	1960110361	481934
14478246136	3166126	23	8	3448971	11926256	1641344	10284912	1960157830	481934
14479099793	3166295	28	8	3449149	11926985	1641415	10285570	1960209060	481934
14479930512	3166455	25	8	3449330	11927696	1641500	10286196	1960288209	481934
14480922329	3166620	23	8	3449520	11928430	1641576	10286854	1960336591	481934
14481862078	3166782	25	8	3449699	11929158	1641652	10287506	1960384353	481934
14482774446	3166955	27	8	3449884	11929878	1641728	10288150	1960432459	481937
14483694395	3167123	22	8	3450070	11930589	1641793	10288796	1960479688	481937
14484578169	3167291	23	8	3450251	11931313	1641867	10289446	1960527441	481937
14485424821	3167453	19	8	3450431	11932006	1641933	10290073	1960573479	481937
14486444693	3167620	25	8	3450606	11932714	1641998	10290716	1960619985	481937
14487405546	3167783	25	8	3450783	11933406	1642057	10291349	1960665932	481937
14488378431	3167945	27	8	3450969	11934108	1642127	10291981	1960714313	481938
14489356768	3168110	21	8	3451155	11934800	1642186	10292614	1960760606	481938
14490213771	3168277	22	8	3451330	11935511	1642264	10293247	1960807456	481938
14491146355	3168440	22	8	3451504	11936233	1642337	10293896	1960855045	481938
14492057222	3168606	25	8	3451684	11936967	1642424	10294543	1960903474	481938
14492962913	3168770	27	8	3451868	11937687	1642496	10295191	1960950946	481938
14493818679	3168941	19	8	3452048	11938405	1642579	10295826	1961010432	481938
14494732743	3169097	27	8	3452219	11939097	1642661	10296436	1961056395	481938
14495479571	3169274	27	8	3452412	11939829	1642741	10297088	1961144834	481943
14496412308	3169434	28	8	3452585	11940531	1642808	10297723	1961190990	481943
14497390228	3169604	25	8	3452770	11941241	1642876	10298365	1961238338	481943
14498121058	3169766	23	8	3452942	11941933	1642951	10298982	1961284486	481943
14499018178	3169936	20	8	3453128	11942650	1643023	10299627	1961334921	481944
14499945131	3170102	23	8	3453308	11943361	1643098	10300263	1961386003	481945
14500587236	3170269	23	8	3453489	11944065	1643164	10300901	1961432813	481945
14501654131	3170429	24	8	3453664	11944765	1643227	10301538	1961478991	481945
14502703014	3170597	26	8	3453847	11945489	1643301	10302188	1961528451	481945
14503710345	3170761	24	8	3454030	11946197	1643365	10302832	1961575374	481945
14504432912	3170926	26	8	3454210	11946909	1643428	10303481	1961622066	481945
14505295781	3171091	25	8	3454389	11947617	1643513	10304104	1961674738	481947
14506171043	3171259	22	8	3454573	11948346	1643586	10304760	1961722680	481947
14507060872	3171423	21	8	3454745	11949039	1643665	10305374	1961768432	481947
14507803825	3171586	25	8	3454924	11949750	1643737	10306013	1961815335	481947
14508575015	3171750	21	8	3455099	11950421	1643793	10306628	1961861996	481947
14509685537	3171910	25	8	3455267	11951099	1643851	10307248	1961908363	481947
14510471736	3172076	19	8	3455442	11951789	1643920	10307869	1961958208	481947
14511481304	3172237	25	8	3455616	11952485	1643979	10308506	1962004068	481947
14512388956	3172406	20	8	3455799	11953209	1644060	10309149	1962056882	481947
14513292223	3172574	21	8	3455983	11953905	1644120	10309785	1962121991	481948
14514157611	3172731	24	8	3456155	11954620	1644189	10310431	1962168883	481948
14515139619	3172890	18	8	3456340	11955309	1644253	10311056	1962215063	481948
14516008509	3173052	18	8	3456521	11956004	1644327	10311677	1962276177	481949
14516926457	3173210	19	8	3456694	11956684	1644391	10312293	1962321079	481949
14518028148	3173372	23	8	3456867	11957408	1644474	10312934	1962385125	481951
14518803216	3173531	24	8	3457039	11958120	1644546	10313574	1962432205	481951
14519814765	3173697	23	8	3457225	11958812	1644606	10314206	1962478596	481951
14520895234	3173858	20	8	3457414	11959534	1644680	10314854	1962526480	481951
14522024686	3174017	24	8	3457591	11960237	1644754	10315483	1962592210	481951
14522954811	3174177	23	8	3457774	11960931	1644818	10316113	1962638807	481952
14523827846	3174334	27	8	3457939	11961598	1644882	10316716	1962682863	481952
14524719019	3174496	23	8	3458120	11962270	1644938	10317332	1962727727	481952
14525563983	3174658	24	8	3458294	11962956	1645004	10317952	1962773010	481952
14526267761	3174817	21	8	3458467	11963624	1645071	10318553	1962817436	481952
14527228810	3174973	23	8	3458636	11964294	1645128	10319166	1962861929	481952
14528290662	3175133	21	8	3458808	11964973	1645188	10319785	1962906657	481952
14529231843	3175285	23	8	3458985	11965629	1645247	10320382	1962950651	481952
14530275917	3175444	20	8	3459160	11966311	1645309	10321002	1962995916	481952
14530985055	3175615	26	8	3459348	11967021	1645392	10321629	1963093867	481956
14531875846	3175778	23	8	3459527	11967714	1645464	10322250	1963139999	481956
14532910015	3175938	23	8	3459700	11968399	1645530	10322869	1963185580	481956
14533674149	3176097	20	8	3459876	11969066	1645592	10323474	1963230224	481956
14534558886	3176265	22	8	3460067	11969768	1645670	10324098	1963308122	481961
14535572016	3176430	21	8	3460249	11970458	1645734	10324724	1963357139	481961
14536281462	3176588	22	8	3460417	11971131	1645800	10325331	1963401901	481961
14537160602	3176751	20	8	3460591	11971820	1645871	10325949	1963447613	481961
14538037343	3176907	23	8	3460764	11972493	1645939	10326554	1963492414	481961
14539385685	3177069	20	8	3460935	11973188	1646013	10327175	1963543638	481960
14540017651	3177228	20	8	3461106	11973850	1646067	10327783	1963587716	481960
14540881024	3177389	21	8	3461277	11974536	1646129	10328407	1963632797	481960
14541799919	3177545	19	8	3461448	11975184	1646191	10328993	1963676264	481961
14542827627	3177703	22	8	3461621	11975871	1646259	10329612	1963721792	481961
14543852480	3177859	21	8	3461796	11976539	1646323	10330216	1963788953	481963
14544807156	3178025	21	8	3461974	11977241	1646395	10330846	1963835492	481963
14545627984	3178181	28	8	3462140	11977912	1646463	10331449	1963879772	481963
14546947282	3178346	23	8	3462319	11978627	1646543	10332084	1963927009	481963
14547850676	3178505	20	8	3462497	11979318	1646616	10332702	1963973001	481963
14548887693	3178667	19	8	3462670	11980022	1646687	10333335	1964019375	481963
14549771693	3178820	29	8	3462840	11980696	1646760	10333936	1964064227	481963
14550521781	3178988	22	8	3463018	11981381	1646830	10334551	1964109981	481963
14551198845	3179149	20	8	3463193	11982072	1646899	10335173	1964155521	481963
14552049558	3179307	19	8	3463369	11982764	1646973	10335791	1964201582	481962
14552833338	3179477	22	8	3463568	11983502	1647054	10336448	1964255787	481967
14553841546	3179638	20	8	3463741	11984195	1647124	10337071	1964301486	481967
14554851466	3179798	27	8	3463911	11984878	1647195	10337683	1964346830	481967
14555791230	3179960	21	8	3464080	11985562	1647266	10338296	1964391837	481967
14556815618	3180114	22	8	3464249	11986224	1647323	10338901	1964435552	481967
14557570949	3180274	20	8	3464429	11986910	1647391	10339519	1964481400	481967
14558467008	3180433	25	8	3464608	11987607	1647464	10340143	1964527748	481967
14559239191	3180591	24	8	3464787	11988301	1647540	10340761	1964574074	481967
14560345455	3180746	25	8	3464955	11988988	1647613	10341375	1964619310	481967
14561287932	3180910	20	8	3465129	11989680	1647688	10341992	1964664925	481967
14562037024	3181068	30	8	3465305	11990358	1647747	10342611	1964710029	481967
14562988015	3181234	23	8	3465484	11991055	1647813	10343242	1964756226	481970
14563782087	3181394	22	8	3465655	11991731	1647887	10343844	1964817805	481971
14564666892	3181555	20	8	3465833	11992420	1647954	10344466	1964863604	481971
14565809746	3181713	26	8	3466011	11993102	1648016	10345086	1964909139	481971
14566630265	3181877	20	8	3466189	11993799	1648092	10345707	1964955375	481971
14567727709	3182038	23	8	3466360	11994488	1648169	10346319	1965044536	481972
14568602634	3182198	20	8	3466535	11995171	1648240	10346931	1965089784	481972
14569411621	3182386	28	8	3466744	11995930	1648347	10347583	1965220197	481990
14570274468	3182553	22	8	3466925	11996617	1648428	10348189	1965355286	481993
14571365638	3182716	25	8	3467105	11997307	1648504	10348803	1965401352	481993
14572274141	3182879	17	8	3467295	11998006	1648564	10349442	1965447901	481993
14572970810	3183039	22	8	3467481	11998709	1648636	10350073	1965494993	481993
14573911073	3183202	24	8	3467657	11999404	1648706	10350698	1965553345	481994
14575069777	3183373	20	8	3467840	12000123	1648786	10351337	1965608785	481997
14575802680	3183534	24	8	3468021	12000804	1648858	10351946	1965662624	481997
14576632130	3183694	24	8	3468199	12001490	1648933	10352557	1965738632	481998
14577634948	3183855	23	8	3468379	12002184	1649005	10353179	1965791776	481998
14578295563	3184023	21	8	3468557	12002872	1649080	10353792	1965838075	482002
14579210817	3184186	19	8	3468741	12003563	1649149	10354414	1965884310	482002
14579966990	3184351	18	8	3468916	12004244	1649221	10355023	1965935900	482004
14580730234	3184509	19	8	3469089	12004903	1649288	10355615	1965979999	482004
14581726396	3184667	23	8	3469257	12005581	1649352	10356229	1966024709	482004
14582657717	3184828	21	8	3469436	12006278	1649423	10356855	1966070850	482004
14583578872	3184988	19	8	3469613	12006979	1649493	10357486	1966117266	482004
14584476324	3185144	25	8	3469783	12007660	1649570	10358090	1966162506	482004
14585438647	3185314	28	8	3469959	12008344	1649634	10358710	1966226409	482007
14586509310	3185470	22	8	3470124	12009010	1649697	10359313	1966270220	482007
14587258718	3185637	22	8	3470303	12009693	1649761	10359932	1966337543	482007
14588224117	3185800	18	8	3470476	12010369	1649822	10360547	1966382359	482007
14589052563	3185960	21	8	3470652	12011074	1649906	10361168	1966429209	482007
14590024785	3186120	22	8	3470824	12011765	1649979	10361786	1966474789	482007
14590818650	3186282	23	8	3471001	12012463	1650053	10362410	1966530973	482008
14592043101	3186441	23	8	3471183	12013169	1650129	10363040	1966577610	482008
