Master	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
1.545882	0.921855	1.054424	1.308416	0.947537	1.002672	1.433817	0.995062	
1.615629	0.919542	1.056812	1.532925	0.937849	1.054298	1.320177	0.982170	
1.469120	0.917629	1.071182	1.554829	0.957739	0.990277	1.368402	1.027408	
1.355713	0.911729	1.156811	1.350138	0.931005	0.978916	1.350029	0.973200	
1.277702	0.922908	1.047837	1.247435	0.946762	0.993994	1.367710	1.207235	
1.308914	0.909600	1.027310	1.328205	1.175921	1.262282	1.214274	0.945671	
1.438806	0.903468	1.042039	1.402081	0.931997	0.978810	1.294291	0.945165	
1.466323	0.932359	1.036775	1.590860	0.942013	0.987441	1.486891	0.982004	
1.389149	0.921049	1.038123	1.535606	0.932912	1.000199	1.431530	0.972105	
1.330965	0.922706	1.052541	1.476320	0.944599	0.993403	1.455826	0.961519	
1.591375	0.928398	1.033107	1.335146	0.923371	1.129814	1.418391	0.949722	
1.252026	0.905904	1.040707	1.558106	0.938497	0.971881	1.332090	0.956906	
1.631147	0.909665	1.051879	1.366060	0.951729	1.088459	1.427890	0.967048	
1.364637	0.916511	1.035866	1.596078	0.934903	1.030912	1.256349	1.032260	
1.525984	0.924551	1.056975	1.330448	0.941986	1.002060	1.514233	1.028648	
1.293685	0.907859	1.044221	1.493004	0.951247	0.998126	1.285574	0.976796	
1.364572	0.922403	1.041620	1.267090	0.953627	0.974293	1.336743	0.970557	
1.612986	0.910371	1.063981	1.416042	0.932675	0.990197	1.298756	0.963452	
1.421123	0.946843	1.036894	1.549649	0.919633	0.993709	1.387940	0.958582	
1.302651	0.918219	1.059458	1.491641	0.935376	1.009611	1.467172	0.967634	
1.302488	0.922557	1.047951	1.212685	0.937440	1.053758	1.476204	0.967939	
1.465648	0.898473	1.043509	1.431979	0.937057	0.985560	1.179660	0.957943	
1.598978	0.904025	1.042376	1.483186	0.945262	0.987953	1.295257	0.950792	
1.229873	0.916606	1.069263	1.631545	0.946292	1.001775	1.479162	0.976580	
1.335432	0.922744	1.030596	1.459669	0.928389	0.993820	1.530772	0.956652	
1.530934	0.928062	0.999430	1.333426	0.936980	1.056530	1.421919	0.944935	
1.576643	0.903631	1.024463	1.545897	0.932864	0.986099	1.379651	1.016153	
1.558893	0.938158	1.058274	1.569897	0.955107	0.994585	1.391681	0.963736	
1.490502	0.947281	1.051287	1.604755	0.941051	0.992341	1.429474	0.960720	
1.441840	0.915378	1.047339	1.545560	0.987117	0.997583	1.505576	0.968172	
1.385705	0.925802	1.047856	1.318944	0.941037	1.002419	1.476540	0.976712	
1.475839	0.921721	1.053762	1.539482	0.938177	1.060328	1.280618	0.958104	
1.511315	0.914314	1.070528	1.482548	0.936192	0.998154	1.409882	0.963899	
1.519791	0.931830	1.068984	1.509777	0.944966	1.023544	1.402279	0.968381	
1.358582	0.915659	1.062733	1.401184	0.934898	0.990277	1.462633	0.972337	
1.272036	0.941302	1.041377	1.432918	0.945327	1.003496	1.245311	0.966740	
1.306986	0.918834	1.044979	1.413296	0.946970	1.056432	1.281007	0.974230	
1.499648	0.898990	1.058353	1.445535	0.945117	1.007158	1.327577	0.990320	
1.254294	0.916298	1.025033	1.460430	0.942925	1.002688	1.452670	0.950673	
1.263166	0.933640	1.049082	1.474887	0.933592	0.980046	1.437592	0.955160	
1.466145	0.906380	1.011855	1.412689	0.942412	0.993155	1.422908	0.959851	
1.633465	0.932118	1.025976	1.401029	0.939146	0.990315	1.430167	0.956613	
1.513172	0.908029	1.051476	1.592704	0.937295	1.078519	1.328729	0.958924	
1.446928	0.923306	1.030252	1.630840	0.950308	0.994321	1.399527	0.944307	
1.606768	0.941065	1.013718	1.487383	0.949578	1.008545	1.537019	0.949112	
1.437810	0.917994	1.012901	1.580437	0.932515	0.997879	1.515531	0.988253	
1.398863	0.929113	1.034956	1.411025	0.936176	0.994856	1.440451	0.965463	
1.578835	0.926542	1.051474	1.536440	0.941130	0.990589	1.314623	0.962075	
1.521438	0.910435	1.035667	1.573523	0.937095	0.997345	1.400294	0.955843	
1.327986	0.910260	1.035322	1.512846	0.982416	0.989306	1.471158	1.030495	
1.464301	0.938855	1.041899	1.389436	0.930716	0.986857	1.578416	0.951999	
1.548924	0.912530	1.031164	1.648379	0.947647	0.994635	1.581022	0.972762	
1.507189	0.946767	1.036304	1.660238	0.945592	1.031040	1.522477	0.954466	
1.692549	0.910288	1.018978	1.647052	0.938393	0.985085	1.545657	0.948675	
1.372897	0.937966	1.065317	1.622449	0.940893	1.023936	1.514651	0.966120	
1.360208	0.921139	1.071308	1.558304	0.932930	1.056410	1.511851	0.963173	
1.489223	0.944231	1.051497	1.517562	0.937280	1.049050	1.488164	0.978478	
1.654381	0.929695	1.053066	1.533205	0.936371	1.161438	1.546959	0.966917	
1.439193	0.940575	1.042413	1.575929	0.950629	0.983215	1.430872	0.973237	
1.281564	0.906135	1.046089	1.634510	0.941089	0.989401	1.359573	0.944881	
1.565217	0.918322	1.048914	1.403213	0.923678	0.990968	1.549219	0.961927	
1.328201	0.914299	1.045579	1.456608	0.936435	0.994696	1.461857	0.978107	
1.534920	0.911686	1.054503	1.449494	0.941911	0.983495	1.306176	0.960055	
1.385237	0.912133	1.043086	1.647044	0.935207	0.999108	1.378078	0.964656	
1.361489	0.941063	1.057481	1.528780	0.932840	1.012154	1.537685	0.968512	
1.315261	0.915438	1.043454	1.323799	0.929351	0.988604	1.471900	0.960873	
1.407321	0.921766	1.061779	1.419059	0.937871	0.998318	1.217996	0.964045	
1.429053	0.960174	1.047619	1.604662	0.937929	1.047527	1.358204	0.974149	
1.364235	0.925432	1.069323	1.438903	0.987065	0.992335	1.528313	1.004836	
1.276508	0.942076	1.050978	1.348031	0.929287	0.988962	1.347867	0.949793	
1.426794	0.915580	0.997829	1.498614	0.937513	0.989702	1.299273	0.955559	
1.483736	0.936656	1.051274	1.641310	0.931149	1.055744	1.512873	0.970225	
1.293916	0.928479	1.045362	1.468133	0.924732	0.996372	1.545496	0.966440	
1.604302	0.922984	1.041670	1.401935	0.929305	1.011721	1.436288	0.952975	
1.503297	0.916403	1.056033	1.610500	0.932040	0.977949	1.393827	1.008423	
1.456397	0.922050	1.064905	1.599128	0.933300	1.057825	1.523921	0.972963	
1.473415	0.923861	1.066026	1.400742	0.923336	0.979366	1.497829	0.963968	
1.597867	0.920505	1.022192	1.513195	0.935855	0.996903	1.500412	0.956299	
1.483867	0.917218	1.037483	1.636925	0.930844	0.987295	1.435008	0.952454	
1.385228	0.927831	1.068813	1.564534	0.939945	0.987977	1.513287	0.977297	
1.611857	0.921165	1.060448	1.419728	0.944749	0.982571	1.472614	0.962841	
1.666018	0.934894	1.038940	1.447338	0.927876	0.991811	1.366669	0.964810	
1.461340	0.931812	1.058745	1.608072	0.929784	0.987026	1.390532	0.993686	
1.284535	0.927412	1.062419	1.499011	0.948572	0.956974	1.513232	0.961309	
1.421715	0.920627	1.061373	1.426278	0.940371	0.985290	1.462945	1.023737	
1.462630	0.919239	1.061146	1.316837	0.932005	0.985041	1.238121	0.960150	
1.443925	0.917582	1.065670	1.470010	0.923636	1.010909	1.212443	0.965145	
1.356099	0.934129	1.062157	1.440915	0.949736	0.980536	1.373061	1.011360	
1.416445	0.919136	1.054297	1.362348	0.942438	0.993339	1.328637	0.972514	
1.296442	0.919838	1.047478	1.373895	0.933424	0.984460	1.283812	0.975482	
1.412570	0.931467	1.031633	1.326632	0.940555	0.988952	1.304740	0.957383	
1.250801	0.896298	1.050922	1.384100	0.984127	0.982534	1.354746	0.952913	
1.369783	0.916991	1.056293	1.189339	0.965735	1.055756	1.288500	0.999357	
1.451323	0.899173	1.022506	1.414769	0.953920	0.971594	1.103313	0.962200	
1.363583	0.903186	1.004141	1.543219	0.944843	0.984113	1.328401	0.950710	
1.316965	0.907270	1.013960	1.446293	0.986462	0.981371	1.534648	0.951648	
1.257314	0.928272	0.945547	1.212434	0.947341	0.976491	1.166621	0.945858	
1.374030	0.917718	0.968070	1.422134	0.957102	0.994017	1.102751	0.955079	
1.462618	0.890401	1.002491	1.639545	0.936764	0.983743	1.465360	0.955178	
1.313915	0.918580	1.018041	1.493170	0.941728	0.972291	1.522202	0.959038	
1.584594	0.912270	1.002923	1.338226	0.933579	0.983505	1.407690	0.977394	
1.580916	0.923400	0.998401	1.578589	0.943608	0.978537	1.280631	0.969724	
1.489159	0.920786	0.996087	1.658263	0.957515	0.982583	1.526137	0.954104	
1.388526	0.904188	1.002384	1.576767	0.934525	0.988128	1.498709	1.009960	
1.543481	0.914670	1.020782	1.439315	0.930361	1.044639	1.548308	0.973803	
1.599814	0.917969	1.015119	1.523339	0.948813	0.994341	1.309036	0.979543	
1.452736	0.939324	1.018851	1.648584	0.953649	1.089509	1.440151	0.952909	
1.609441	0.897397	0.976774	1.627579	0.992649	1.180963	1.550342	0.958567	
1.628908	0.914645	0.953608	1.542796	0.932151	0.983182	1.555325	0.942715	
1.488914	0.922302	1.010411	1.635651	0.938981	0.986177	1.547144	0.946997	
1.525181	0.953062	1.023951	1.622390	0.961174	0.987777	1.522072	0.946630	
1.554285	0.932399	0.973742	1.686058	0.987144	0.986999	1.540567	0.940482	
1.606444	0.951839	1.047850	1.519048	0.947502	1.005764	1.573703	0.963378	
1.519710	0.949256	1.047944	1.642521	0.931178	0.996754	1.410419	0.975163	
1.397911	0.947967	1.058106	1.598083	0.946945	0.977704	1.530447	0.966907	
1.448595	0.927971	1.045646	1.596172	0.940548	0.947907	1.534403	0.960006	
1.451751	0.910648	1.060864	1.454274	0.936011	1.138557	1.475417	0.985033	
1.494428	0.937626	1.052483	1.530337	0.945240	0.974405	1.414896	0.959064	
1.499101	0.945350	1.076686	1.616026	0.936824	0.975074	1.392533	0.986602	
1.415145	0.922088	1.051629	1.640512	0.933927	0.997972	1.469258	0.969852	
1.443304	0.930763	1.059210	1.351856	0.923046	1.020080	1.536439	0.966960	
1.327266	0.923668	1.051834	1.437752	0.937432	0.992273	1.309491	0.977838	
1.468792	0.927464	1.065234	1.580757	0.937480	0.986581	1.299421	0.973028	
1.486264	0.931494	1.061959	1.531972	0.931403	1.003818	1.531949	1.037351	
1.327959	0.935215	1.051100	1.303431	0.939320	0.983597	1.447016	0.973180	
1.217238	0.919064	1.049182	1.310474	0.929697	1.084926	1.197904	0.966714	
1.539950	0.901958	1.053567	1.392840	1.011152	0.995452	1.236686	0.967301	
1.333954	0.899490	1.055811	1.356374	0.936096	1.012493	1.294335	0.985902	
1.126206	0.893929	1.009173	1.197581	0.930895	0.992930	1.216049	0.968257	
1.253640	1.032034	1.003921	1.212581	0.946407	1.043274	1.231746	0.937263	
1.432754	0.916665	0.991381	1.311573	0.950109	0.976069	1.255867	0.957892	
1.592587	0.906941	1.017995	1.468445	0.949883	0.980322	1.383247	0.985409	
1.481697	0.927695	0.994816	1.600981	0.945497	1.018973	1.502510	0.962892	
1.460232	0.913643	0.956064	1.610673	0.934899	0.976474	1.412543	0.947880	
1.621135	0.895568	0.988259	1.487808	0.934563	0.981772	1.513029	0.947726	
1.653315	0.914110	1.006665	1.644078	0.936119	1.029279	1.466935	0.970509	
1.445229	0.894800	0.986052	1.187410	0.949916	0.977401	1.082669	0.975552	
1.634136	0.925249	0.994004	1.386959	0.940543	1.042334	1.223249	0.973829	
1.414081	0.912644	1.037249	1.459626	0.998304	0.994580	1.430292	0.961955	
1.500977	0.904870	1.029703	1.414789	0.951516	1.010374	1.394355	0.952379	
1.551216	0.905146	0.941751	1.627213	0.937365	0.975931	1.466059	0.980864	
1.416244	0.942061	1.012747	1.656938	0.934246	0.977274	1.495204	0.952059	
1.516819	0.933581	1.029520	1.454700	0.936737	0.999639	1.583526	1.027618	
1.622482	0.921597	1.030820	1.591605	0.936550	0.986228	1.483451	0.974066	
1.477936	0.934991	1.064424	1.582041	0.938845	0.973676	1.562079	0.960657	
1.393709	0.915986	1.062896	1.602155	0.946790	0.973214	1.490736	0.969603	
1.424004	0.965327	1.036205	1.648223	0.943299	1.024031	1.551978	1.011555	
1.673923	0.922575	1.026473	1.475971	0.946210	1.000942	1.555078	0.964924	
1.374071	0.948422	1.038951	1.626287	0.935704	0.995177	1.400005	0.962229	
1.488640	0.933665	1.045926	1.637510	0.955176	1.047879	1.528699	0.965042	
1.379191	0.942465	1.046134	1.613316	0.933465	1.050068	1.558673	0.969871	
1.474802	0.902223	1.038440	1.436076	0.939529	1.004906	1.523366	0.963290	
1.419724	0.923531	1.063141	1.536515	0.948019	1.028098	1.377836	0.977116	
1.400554	0.921265	1.080466	1.628657	0.937391	1.035227	1.455163	0.984659	
1.480631	0.940524	1.076239	1.498288	0.943866	0.997130	1.516968	0.977751	
1.345772	0.929830	1.060550	1.481170	0.917157	0.984425	1.396560	0.964605	
1.408117	0.910796	1.079219	1.405006	0.945803	0.987625	1.365621	0.970397	
1.449889	0.930813	1.075350	1.531615	0.944207	0.973461	1.358491	1.005488	
1.291934	0.915033	1.075472	1.464311	0.944711	0.985756	1.479309	0.975426	
1.276683	0.912820	1.048781	1.244061	0.928531	0.985579	1.322625	0.973230	
1.144362	0.926135	1.019827	1.403172	0.943149	0.987918	1.213360	0.958956	
1.363077	0.923191	1.051497	1.390487	0.953894	0.980628	1.308259	0.966544	
1.300009	0.925674	1.049379	1.337520	0.937860	0.986919	1.356793	1.002516	
1.326639	0.915913	1.026449	1.301799	0.938430	0.987237	1.340496	0.946628	
1.278312	0.908855	1.032868	1.303023	0.948153	0.984215	1.228605	0.945768	
1.224233	0.925109	1.033490	1.461320	0.939320	0.978638	1.244506	0.972208	
1.523848	0.917683	1.026967	1.321310	0.951099	0.995050	1.468945	1.013072	
1.366067	0.899035	1.028429	1.431907	0.941751	0.990278	1.379328	0.961964	
1.252501	0.920185	0.989844	1.478850	0.948247	1.047870	1.395677	0.954240	
1.514988	0.904356	1.004583	1.392645	0.949745	0.989993	1.389298	0.965974	
1.569343	0.918901	1.022591	1.594521	0.928344	0.988627	1.397785	0.963398	
1.436140	0.907687	0.994051	1.600643	0.940848	0.996193	1.520471	0.952698	
1.554162	0.925365	1.017889	1.592227	0.926997	1.047517	1.553064	0.957126	
1.555061	0.919076	1.030563	1.630106	0.937115	0.973636	1.504099	0.975510	
1.700475	0.928189	1.024935	1.458524	0.939878	1.070104	1.533251	0.956070	
1.607399	0.924273	1.048790	1.617563	0.934818	0.979719	1.362925	0.960398	
1.409874	0.934092	1.050266	1.652020	0.957386	1.006238	1.499041	0.951934	
1.548911	0.936365	1.046861	1.383322	0.940403	1.034186	1.389175	1.024173	
1.411213	0.926089	1.055726	1.497702	0.936258	0.972562	1.319397	0.974839	
1.313397	0.912725	1.062406	1.462144	0.939767	0.988212	1.328568	0.970101	
1.590976	0.937147	1.052054	1.298595	0.942162	0.996208	1.426946	0.962850	
1.345804	0.920385	1.030954	1.534478	0.988354	0.984709	1.213861	0.981532	
1.277306	0.917424	1.053610	1.385246	0.940235	1.003051	1.463230	0.957018	
1.347192	0.933200	1.053168	1.344260	0.934554	0.990710	1.317555	0.984118	
1.297588	0.894068	1.057418	1.347337	0.934394	0.995329	1.316035	0.964164	
1.543341	0.937581	1.056558	1.476742	0.939125	0.998312	1.262962	0.966029	
1.468081	0.932403	1.063899	1.530061	0.941780	1.008158	1.467628	1.004340	
1.141853	0.914085	1.048444	1.527009	0.937732	0.992619	1.339916	0.958576	
1.369139	0.932083	1.049663	1.265151	0.965447	1.012785	1.427882	0.947195	
1.343016	0.917462	1.053277	1.396890	0.933698	0.988053	1.153677	0.968142	
1.431710	0.919527	1.051697	1.264199	0.937686	0.982142	1.225571	0.944130	
1.370407	0.902613	1.065634	1.488889	0.934375	0.994932	1.154392	0.949246	
1.395377	0.902280	1.054064	1.378333	0.932870	0.988538	1.459234	0.958586	
1.066658	0.917497	0.993053	1.277449	0.939575	0.986276	1.181117	0.948417	
1.367991	0.894591	0.961873	1.167460	0.936340	0.983431	1.304408	0.947891	
1.463353	0.909618	0.999883	1.364789	0.927539	1.056377	1.226977	0.945503	
1.266347	0.905051	1.020581	1.406836	0.942712	1.016275	1.480656	0.962787	
1.373013	0.926039	1.027655	1.221395	0.927161	1.028692	1.292107	0.958077	
1.596055	0.919174	1.023633	1.435964	0.945620	0.993611	1.304644	0.969970	
1.557998	0.925880	1.001976	1.676846	0.928722	1.100894	1.452661	0.954174	
1.246746	0.956490	1.046341	1.542698	0.941554	1.061435	1.554067	0.950887	
1.471050	0.912092	1.053550	1.402307	0.929322	0.992112	1.446949	0.975064	
1.517287	0.913066	1.057369	1.552592	0.952821	1.003905	1.406680	0.964937	
1.401933	0.951883	1.042242	1.595247	0.943638	0.990047	1.461241	0.966222	
1.363851	0.929858	1.029836	1.438343	1.001525	0.996659	1.461630	0.955399	
1.579686	0.917849	1.046297	1.480481	0.938193	0.992102	1.361290	0.981507	
1.599524	0.914280	1.030975	1.679947	0.930166	1.003808	1.309241	0.947173	
1.324585	0.948594	1.064672	1.616432	0.935457	0.995880	1.525832	0.945978	
1.356216	0.920896	1.058714	1.338543	0.934241	0.995953	1.458199	0.966058	
1.437226	0.916082	1.048384	1.275642	0.940553	0.981774	1.228729	0.963659	
1.605896	0.928564	1.052334	1.508718	0.929811	0.982783	1.220676	0.976474	
1.266700	0.913538	1.066284	1.607400	0.931957	1.060003	1.465566	0.991659	
1.308225	0.919916	1.016157	1.378474	0.935458	0.988680	1.487457	0.966064	
