bytes_written	total_items	curr_connections	threads	cmd_set	cmd_get	get_misses	get_hits	bytes_read
20546093912	4232070	20	8	4622359	16540586	2104282	14436304	2276169455	481779
20547254001	4232223	18	8	4622531	16541259	2104352	14436907	2276213672	481779
20548412768	4232372	22	8	4622701	16541946	2104409	14437537	2276258536	481779
20549456140	4232529	27	8	4622884	16542661	2104479	14438182	2276305637	481779
20550394065	4232687	22	8	4623064	16543372	2104556	14438816	2276352532	481779
20551331841	4232843	17	8	4623237	16544064	2104619	14439445	2276397774	481779
20552092138	4232997	19	8	4623403	16544735	2104678	14440057	2276441802	481779
20552999891	4233156	22	8	4623581	16545441	2104740	14440701	2276488199	481779
20553857259	4233311	20	8	4623759	16546132	2104805	14441327	2276533765	481779
20554758259	4233471	18	8	4623939	16546834	2104873	14441961	2276579990	481779
20555615270	4233625	18	8	4624112	16547517	2104944	14442573	2276625020	481779
20556269746	4233780	20	8	4624292	16548203	2105016	14443187	2276670700	481779
20557160436	4233936	21	8	4624471	16548887	2105076	14443811	2276715973	481779
20558013359	4234094	19	8	4624650	16549582	2105137	14444445	2276761918	481779
20559125954	4234249	18	8	4624830	16550282	2105208	14445074	2276807921	481779
20559780347	4234403	20	8	4625012	16550962	2105280	14445682	2276853679	481779
20560652119	4234563	17	8	4625194	16551659	2105346	14446313	2276899768	481779
20561732240	4234718	18	8	4625362	16552343	2105408	14446935	2276944629	481779
20562532197	4234877	21	8	4625547	16553034	2105465	14447569	2276990497	481779
20563289766	4235031	21	8	4625734	16553726	2105534	14448192	2277036730	481779
20564167515	4235189	18	8	4625915	16554427	2105608	14448819	2277083132	481779
20564934016	4235344	20	8	4626101	16555133	2105684	14449449	2277130121	481779
20565688671	4235503	20	8	4626293	16555859	2105753	14450106	2277178184	481779
20566499154	4235665	17	8	4626478	16556557	2105827	14450730	2277224626	481778
20567167056	4235812	21	8	4626647	16557224	2105893	14451331	2277268688	481778
20567842910	4235966	16	8	4626828	16557895	2105950	14451945	2277313417	481778
20568705944	4236126	18	8	4627012	16558605	2106029	14452576	2277360324	481778
20569450813	4236277	25	8	4627195	16559291	2106091	14453200	2277406067	481778
20570288169	4236437	16	8	4627396	16560010	2106160	14453850	2277454166	481778
20571076914	4236592	22	8	4627573	16560697	2106231	14454466	2277499821	481778
20571851996	4236748	18	8	4627755	16561391	2106307	14455084	2277545996	481778
20572833907	4236903	23	8	4627934	16562089	2106376	14455713	2277592155	481778
20574016234	4237061	22	8	4628125	16562814	2106442	14456372	2277639953	481778
20574732005	4237216	20	8	4628288	16563458	2106504	14456954	2277682556	481778
20575603286	4237372	20	8	4628472	16564158	2106567	14457591	2277728985	481778
20576381921	4237530	22	8	4628647	16564840	2106628	14458212	2277774091	481778
20577172976	4237686	19	8	4628824	16565508	2106685	14458823	2277818451	481778
20578231358	4237840	17	8	4628999	16566169	2106744	14459425	2277862390	481778
20579277085	4237990	19	8	4629165	16566852	2106820	14460032	2277906922	481778
20580047540	4238137	21	8	4629339	16567521	2106881	14460640	2277951156	481778
20580959994	4238289	16	8	4629516	16568218	2106959	14461259	2277996992	481778
20581817627	4238438	17	8	4629685	16568897	2107039	14461858	2278041480	481778
20582751083	4238588	22	8	4629849	16569551	2107097	14462454	2278084579	481778
20583606297	4238734	23	8	4630012	16570221	2107171	14463050	2278128215	481778
20584597433	4238886	23	8	4630179	16570889	2107232	14463657	2278172066	481778
20585516712	4239037	18	8	4630355	16571551	2107296	14464255	2278216068	481778
20586669820	4239185	19	8	4630517	16572224	2107367	14464857	2278260180	481778
20587352636	4239338	17	8	4630692	16572880	2107424	14465456	2278303637	481778
20588349751	4239488	25	8	4630861	16573559	2107492	14466067	2278348165	481778
20589414281	4239635	20	8	4631025	16574227	2107554	14466673	2278391564	481778
20590404263	4239783	19	8	4631189	16574888	2107616	14467272	2278434957	481778
20591235339	4239933	18	8	4631368	16575559	2107680	14467879	2278479354	481778
20592079891	4240076	20	8	4631534	16576214	2107740	14468474	2278522208	481778
20592875483	4240221	18	8	4631700	16576842	2107799	14469043	2278563937	481778
20593870764	4240368	19	8	4631865	16577480	2107860	14469620	2278606211	481778
20594697576	4240510	18	8	4632023	16578100	2107922	14470178	2278647258	481778
20595645136	4240653	20	8	4632195	16578750	2107983	14470767	2278690514	481778
20596567404	4240793	16	8	4632358	16579363	2108037	14471326	2278731203	481778
20597360181	4240939	21	8	4632526	16580025	2108110	14471915	2278774941	481778
20598138097	4241085	16	8	4632693	16580674	2108175	14472499	2278817551	481778
20599148839	4241227	19	8	4632849	16581314	2108251	14473063	2278859490	481778
20600212806	4241370	18	8	4633010	16581949	2108309	14473640	2278901337	481778
20601027119	4241518	18	8	4633175	16582588	2108367	14474221	2278943472	481778
20601877904	4241660	20	8	4633332	16583233	2108437	14474796	2278985760	481778
20602829508	4241801	18	8	4633489	16583853	2108495	14475358	2279026520	481778
20603615860	4241948	19	8	4633653	16584485	2108551	14475934	2279068372	481778
20604361354	4242091	16	8	4633813	16585111	2108613	14476498	2279109520	481778
20605152024	4242234	22	8	4633966	16585743	2108676	14477067	2279150976	481778
20606094184	4242385	16	8	4634140	16586414	2108745	14477669	2279195195	481778
20606793278	4242525	17	8	4634301	16587045	2108805	14478240	2279236776	481778
20607565954	4242667	17	8	4634458	16587664	2108863	14478801	2279277639	481778
20608383593	4242816	19	8	4634629	16588336	2108930	14479406	2279321691	481778
20609198155	4242961	20	8	4634783	16588974	2108996	14479978	2279363532	481778
20609820374	4243101	21	8	4634948	16589607	2109054	14480553	2279405346	481778
20610598493	4243246	17	8	4635114	16590225	2109114	14481111	2279446597	481778
20611296534	4243391	17	8	4635292	16590878	2109178	14481700	2279490265	481778
20612197887	4243532	21	8	4635449	16591541	2109252	14482289	2279533449	481778
20613103528	4243679	17	8	4635620	16592185	2109321	14482864	2279576028	481778
20613809628	4243820	22	8	4635787	16592822	2109389	14483433	2279618478	481778
20614687611	4243968	17	8	4635952	16593455	2109450	14484005	2279660637	481778
20615429278	4244112	16	8	4636125	16594096	2109507	14484589	2279703312	481778
20616197589	4244251	22	8	4636307	16594742	2109568	14485174	2279746695	481778
20617012291	4244396	20	8	4636462	16595377	2109631	14485746	2279788225	481778
20617827503	4244541	17	8	4636613	16595987	2109697	14486290	2279828345	481778
20618526358	4244685	16	8	4636770	16596592	2109743	14486849	2279868524	481778
20619418376	4244830	22	8	4636946	16597247	2109815	14487432	2279912489	481778
20620202618	4244974	18	8	4637115	16597870	2109876	14487994	2279954167	481778
20621056392	4245114	18	8	4637277	16598510	2109945	14488565	2279996363	481778
20621755499	4245258	20	8	4637435	16599137	2110007	14489130	2280037731	481778
20622421932	4245403	24	8	4637602	16599768	2110068	14489700	2280079754	481778
20623205835	4245549	18	8	4637758	16600383	2110125	14490258	2280120442	481778
20624129129	4245694	15	8	4637923	16601020	2110174	14490846	2280162383	481778
20625079786	4245839	18	8	4638085	16601659	2110237	14491422	2280204459	481778
20625839955	4245980	24	8	4638236	16602299	2110303	14491996	2280246252	481778
20626538437	4246128	18	8	4638414	16602954	2110362	14492592	2280289825	481778
20627495578	4246268	18	8	4638572	16603580	2110430	14493150	2280331067	481778
20628424862	4246409	19	8	4638724	16604203	2110483	14493720	2280371866	481778
20629159070	4246561	23	8	4638887	16604864	2110546	14494318	2280415016	481778
20630091400	4246704	17	8	4639040	16605489	2110607	14494882	2280455885	481778
20630733723	4246843	17	8	4639197	16606089	2110670	14495419	2280495946	481778
20631740224	4246990	23	8	4639362	16606743	2110739	14496004	2280539050	481778
20632711996	4247132	20	8	4639518	16607368	2110798	14496570	2280580128	481778
20633430504	4247279	16	8	4639677	16607989	2110862	14497127	2280621270	481778
20634526222	4247419	17	8	4639837	16608620	2110928	14497692	2280662826	481778
20635483395	4247556	16	8	4639990	16609225	2110980	14498245	2280702712	481778
20636487338	4247703	19	8	4640163	16609901	2111052	14498849	2280747130	481778
20637061010	4247853	16	8	4640330	16610541	2111106	14499435	2280789596	481778
20637909041	4247996	19	8	4640489	16611180	2111176	14500004	2280831655	481778
20638688796	4248139	16	8	4640653	16611828	2111247	14500581	2280874070	481778
20639470452	4248279	21	8	4640817	16612465	2111304	14501161	2280916275	481778
20640323945	4248427	18	8	4640984	16613107	2111372	14501735	2280958819	481778
20641121229	4248569	16	8	4641159	16613760	2111438	14502322	2281002113	481778
20641911512	4248709	19	8	4641324	16614390	2111486	14502904	2281043740	481778
20642632901	4248854	19	8	4641492	16615037	2111542	14503495	2281086309	481778
20643238505	4248999	21	8	4641644	16615664	2111598	14504066	2281127226	481778
20643949085	4249143	17	8	4641803	16616273	2111645	14504628	2281167517	481778
20644732318	4249286	17	8	4641965	16616899	2111695	14505204	2281208768	481778
20645793834	4249431	22	8	4642128	16617560	2111770	14505790	2281252201	481778
20646451152	4249580	16	8	4642298	16618211	2111832	14506379	2281295230	481778
20647151241	4249723	13	8	4642464	16618858	2111904	14506954	2281337964	481778
20647858500	4249865	16	8	4642621	16619481	2111959	14507522	2281379028	481778
20648682437	4250010	22	8	4642786	16620120	2112018	14508102	2281421351	481778
20649395647	4250157	17	8	4642956	16620755	2112078	14508677	2281463382	481778
20650186220	4250297	17	8	4643112	16621372	2112138	14509234	2281504071	481778
