CPU_UTIL(%) ACTV_MEM(%) DISK(KB/s) DISK_IN(KB/s) DISK_OUT(KB/s) NET(KB/s) NET_IN(KB/s) NET_OUT(KB/s) INSTRUCTIONS_RETIRED_0 LLC_MISSES_0 INSTRUCTIONS_RETIRED_1 LLC_MISSES_1 INSTRUCTIONS_RETIRED_2 LLC_MISSES_2 INSTRUCTIONS_RETIRED_3 LLC_MISSES_3 INSTRUCTIONS_RETIRED_4 LLC_MISSES_4 INSTRUCTIONS_RETIRED_5 LLC_MISSES_5 INSTRUCTIONS_RETIRED_6 LLC_MISSES_6 INSTRUCTIONS_RETIRED_7 LLC_MISSES_7 THERM_0 THERM_1 THERM_2 THERM_3 THERM_4 THERM_5 THERM_6 THERM_7 FREQ_0 FREQ_1 FREQ_2 FREQ_3 FREQ_4 FREQ_5 FREQ_6 FREQ_7 TIME
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.90e+03       1.20e+01       4.91e+03       0.00e+00       2.90e+05       6.38e+02       4.91e+03       0.00e+00       4.91e+03       2.60e+01       5.32e+03       1.70e+01       5.30e+03       2.00e+01       7.43e+05       2.04e+03       43.0           42.0           45.0           43.0           42.0           41.0           46.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.41e+06       1.35e+04       2.79e+08       2.64e+05       4.59e+06       2.11e+04       7.00e+06       3.58e+04       1.12e+06       6.88e+03       1.20e+08       1.31e+05       1.39e+07       4.56e+04       7.34e+07       6.72e+04       43.0           42.0           45.0           43.0           42.0           41.0           46.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.65e+06       1.27e+04       1.31e+06       1.88e+03       2.30e+06       4.89e+03       2.88e+06       5.55e+03       1.27e+05       9.74e+02       1.84e+06       6.21e+03       1.77e+06       6.21e+03       1.70e+06       5.02e+03       44.0           41.0           45.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.58e+06       7.26e+03       2.21e+06       4.58e+03       2.95e+06       3.57e+03       1.25e+06       2.08e+03       7.55e+04       2.45e+02       1.00e+06       2.55e+03       3.71e+06       8.32e+03       1.49e+06       4.77e+03       44.0           41.0           45.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.38e+06       8.16e+03       1.73e+06       3.02e+03       4.03e+06       5.58e+03       1.51e+06       2.88e+03       9.81e+04       4.35e+02       1.67e+06       5.23e+03       1.60e+06       5.15e+03       1.50e+06       5.21e+03       43.0           41.0           44.0           42.0           42.0           40.0           46.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.66e+06       6.12e+03       2.05e+06       2.98e+03       2.51e+06       2.06e+03       1.44e+06       2.44e+03       1.04e+05       3.30e+02       1.83e+06       5.66e+03       1.56e+06       5.82e+03       3.04e+05       9.98e+02       43.0           41.0           44.0           42.0           42.0           40.0           46.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.46e+06       7.93e+03       1.76e+06       5.56e+03       2.22e+06       2.34e+03       2.35e+06       5.18e+03       9.94e+04       3.89e+02       5.84e+06       1.25e+04       1.97e+06       4.30e+03       2.34e+06       9.50e+03       43.0           41.0           43.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.38	1.00	7.65	0.00	7.65	198.32	38.97	159.36	3.26e+06       6.17e+03       1.12e+06       2.23e+03       2.79e+06       3.50e+03       2.03e+06       4.62e+03       1.03e+05       5.61e+02       1.48e+06       3.74e+03       1.91e+06       5.06e+03       3.47e+06       9.31e+03       43.0           41.0           43.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	1.00	7.65	0.00	7.65	108.10	36.00	72.10	3.34e+06       5.76e+03       1.49e+06       2.88e+03       2.14e+06       3.19e+03       2.67e+06       4.39e+03       7.93e+04       2.28e+02       7.64e+05       2.45e+03       1.23e+06       3.67e+03       4.30e+06       7.63e+03       43.0           41.0           44.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.13	1.00	7.65	0.00	7.65	138.22	40.06	98.16	3.91e+06       6.94e+03       1.81e+06       3.19e+03       2.46e+06       2.75e+03       1.81e+06       3.25e+03       1.54e+05       4.65e+02       1.75e+06       4.64e+03       1.90e+06       5.67e+03       3.13e+06       4.40e+03       43.0           41.0           44.0           43.0           42.0           41.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
0.00	1.00	7.65	0.00	7.65	140.41	36.31	104.10	3.96e+06       7.58e+03       1.84e+06       2.88e+03       2.42e+06       2.72e+03       1.55e+06       2.35e+03       9.94e+04       3.62e+02       1.06e+06       3.58e+03       1.80e+06       4.61e+03       3.44e+06       5.09e+03       43.0           41.0           44.0           43.0           42.0           40.0           45.0           42.0           1.60           1.60           1.60           1.60           1.60           1.60           1.60           1.60           
